Step,TP2 after fix,TP2 after fix__MIN,TP2 after fix__MAX,TP2,TP=2__MIN,TP=2__MAX,TP1,TP=1__MIN,TP=1__MAX
75,6.471226215362549,6.471226215362549,6.471226215362549,6.65643835067749,6.65643835067749,6.65643835067749,6.485658645629883,6.485658645629883,6.485658645629883
76,6.478297710418701,6.478297710418701,6.478297710418701,,,,,,
77,,,,6.65701150894165,6.65701150894165,6.65701150894165,,,
78,6.469082832336426,6.469082832336426,6.469082832336426,6.688628196716309,6.688628196716309,6.688628196716309,6.476807117462158,6.476807117462158,6.476807117462158
79,,,,6.672975063323975,6.672975063323975,6.672975063323975,6.475195407867432,6.475195407867432,6.475195407867432
80,,,,6.703296184539795,6.703296184539795,6.703296184539795,6.493556976318359,6.493556976318359,6.493556976318359
81,6.452496528625488,6.452496528625488,6.452496528625488,6.658209323883057,6.658209323883057,6.658209323883057,6.476231098175049,6.476231098175049,6.476231098175049
82,6.381325721740723,6.381325721740723,6.381325721740723,6.579431533813477,6.579431533813477,6.579431533813477,6.361083984375,6.361083984375,6.361083984375
83,6.44687557220459,6.44687557220459,6.44687557220459,6.642209053039551,6.642209053039551,6.642209053039551,6.45170783996582,6.45170783996582,6.45170783996582
84,,,,6.5934624671936035,6.5934624671936035,6.5934624671936035,6.399396896362305,6.399396896362305,6.399396896362305
85,,,,6.583847522735596,6.583847522735596,6.583847522735596,6.384417533874512,6.384417533874512,6.384417533874512
86,,,,6.538644313812256,6.538644313812256,6.538644313812256,6.369869709014893,6.369869709014893,6.369869709014893
87,,,,6.562021255493164,6.562021255493164,6.562021255493164,,,
88,6.365428924560547,6.365428924560547,6.365428924560547,6.53452205657959,6.53452205657959,6.53452205657959,,,
89,6.302541255950928,6.302541255950928,6.302541255950928,6.46318244934082,6.46318244934082,6.46318244934082,6.285026550292969,6.285026550292969,6.285026550292969
90,,,,6.469682693481445,6.469682693481445,6.469682693481445,,,
91,6.31068754196167,6.31068754196167,6.31068754196167,6.48138952255249,6.48138952255249,6.48138952255249,6.317086219787598,6.317086219787598,6.317086219787598
92,,,,6.4399800300598145,6.4399800300598145,6.4399800300598145,6.30463171005249,6.30463171005249,6.30463171005249
93,,,,6.430375099182129,6.430375099182129,6.430375099182129,,,
94,6.21425199508667,6.21425199508667,6.21425199508667,6.371140956878662,6.371140956878662,6.371140956878662,6.211373329162598,6.211373329162598,6.211373329162598
95,,,,6.415241241455078,6.415241241455078,6.415241241455078,,,
96,,,,6.403376579284668,6.403376579284668,6.403376579284668,6.245563983917236,6.245563983917236,6.245563983917236
97,,,,6.400822162628174,6.400822162628174,6.400822162628174,6.25635290145874,6.25635290145874,6.25635290145874
98,6.224587917327881,6.224587917327881,6.224587917327881,6.37072229385376,6.37072229385376,6.37072229385376,6.219010353088379,6.219010353088379,6.219010353088379
99,6.209950923919678,6.209950923919678,6.209950923919678,6.370758533477783,6.370758533477783,6.370758533477783,,,
100,6.243806838989258,6.243806838989258,6.243806838989258,6.376234531402588,6.376234531402588,6.376234531402588,6.232762336730957,6.232762336730957,6.232762336730957
101,,,,,,,6.181545257568359,6.181545257568359,6.181545257568359
102,,,,6.373625755310059,6.373625755310059,6.373625755310059,,,
103,,,,6.288191795349121,6.288191795349121,6.288191795349121,,,
104,,,,6.2615461349487305,6.2615461349487305,6.2615461349487305,6.119648456573486,6.119648456573486,6.119648456573486
105,6.193774223327637,6.193774223327637,6.193774223327637,6.320714950561523,6.320714950561523,6.320714950561523,6.176657199859619,6.176657199859619,6.176657199859619
107,,,,6.274595737457275,6.274595737457275,6.274595737457275,,,
108,6.211865425109863,6.211865425109863,6.211865425109863,6.308376312255859,6.308376312255859,6.308376312255859,,,
109,6.087231636047363,6.087231636047363,6.087231636047363,6.212092876434326,6.212092876434326,6.212092876434326,,,
110,,,,6.191710472106934,6.191710472106934,6.191710472106934,,,
111,6.104334831237793,6.104334831237793,6.104334831237793,6.227795124053955,6.227795124053955,6.227795124053955,6.0897321701049805,6.0897321701049805,6.0897321701049805
112,,,,6.209004878997803,6.209004878997803,6.209004878997803,,,
113,6.095009803771973,6.095009803771973,6.095009803771973,6.210265159606934,6.210265159606934,6.210265159606934,6.088709831237793,6.088709831237793,6.088709831237793
114,,,,6.1111273765563965,6.1111273765563965,6.1111273765563965,5.978590488433838,5.978590488433838,5.978590488433838
115,,,,6.179072380065918,6.179072380065918,6.179072380065918,,,
116,,,,6.167789459228516,6.167789459228516,6.167789459228516,,,
117,6.0440673828125,6.0440673828125,6.0440673828125,6.168703079223633,6.168703079223633,6.168703079223633,6.046899318695068,6.046899318695068,6.046899318695068
118,6.001131534576416,6.001131534576416,6.001131534576416,6.116298198699951,6.116298198699951,6.116298198699951,5.993799686431885,5.993799686431885,5.993799686431885
119,,,,6.139296531677246,6.139296531677246,6.139296531677246,6.010421276092529,6.010421276092529,6.010421276092529
120,,,,6.121118545532227,6.121118545532227,6.121118545532227,5.973062992095947,5.973062992095947,5.973062992095947
121,5.933934688568115,5.933934688568115,5.933934688568115,6.055204391479492,6.055204391479492,6.055204391479492,5.931424617767334,5.931424617767334,5.931424617767334
122,,,,6.073677062988281,6.073677062988281,6.073677062988281,5.94834041595459,5.94834041595459,5.94834041595459
123,,,,6.060328006744385,6.060328006744385,6.060328006744385,5.9264349937438965,5.9264349937438965,5.9264349937438965
124,5.93708610534668,5.93708610534668,5.93708610534668,6.068133354187012,6.068133354187012,6.068133354187012,,,
125,5.899527072906494,5.899527072906494,5.899527072906494,6.030918121337891,6.030918121337891,6.030918121337891,,,
126,,,,6.032920837402344,6.032920837402344,6.032920837402344,,,
127,5.924148082733154,5.924148082733154,5.924148082733154,6.038105487823486,6.038105487823486,6.038105487823486,5.902418613433838,5.902418613433838,5.902418613433838
128,5.952864646911621,5.952864646911621,5.952864646911621,6.070095539093018,6.070095539093018,6.070095539093018,5.941041469573975,5.941041469573975,5.941041469573975
129,,,,5.975588321685791,5.975588321685791,5.975588321685791,5.8458967208862305,5.8458967208862305,5.8458967208862305
130,,,,6.005319118499756,6.005319118499756,6.005319118499756,5.8702006340026855,5.8702006340026855,5.8702006340026855
131,,,,6.026876449584961,6.026876449584961,6.026876449584961,5.891634464263916,5.891634464263916,5.891634464263916
132,5.87954568862915,5.87954568862915,5.87954568862915,5.967503547668457,5.967503547668457,5.967503547668457,,,
133,5.870136260986328,5.870136260986328,5.870136260986328,,,,,,
134,5.7967681884765625,5.7967681884765625,5.7967681884765625,5.9323344230651855,5.9323344230651855,5.9323344230651855,5.793074607849121,5.793074607849121,5.793074607849121
135,,,,5.982810020446777,5.982810020446777,5.982810020446777,5.849159240722656,5.849159240722656,5.849159240722656
136,,,,5.941455364227295,5.941455364227295,5.941455364227295,5.8003830909729,5.8003830909729,5.8003830909729
137,,,,5.97382926940918,5.97382926940918,5.97382926940918,5.840304374694824,5.840304374694824,5.840304374694824
138,,,,5.941244602203369,5.941244602203369,5.941244602203369,,,
139,,,,5.984701156616211,5.984701156616211,5.984701156616211,5.844604015350342,5.844604015350342,5.844604015350342
140,5.801529884338379,5.801529884338379,5.801529884338379,5.9137139320373535,5.9137139320373535,5.9137139320373535,5.789822578430176,5.789822578430176,5.789822578430176
141,,,,5.9214582443237305,5.9214582443237305,5.9214582443237305,,,
142,,,,5.869551658630371,5.869551658630371,5.869551658630371,5.743466854095459,5.743466854095459,5.743466854095459
143,,,,5.864659786224365,5.864659786224365,5.864659786224365,,,
144,5.714317321777344,5.714317321777344,5.714317321777344,,,,5.708844184875488,5.708844184875488,5.708844184875488
145,5.729401111602783,5.729401111602783,5.729401111602783,5.858958721160889,5.858958721160889,5.858958721160889,,,
146,5.752294540405273,5.752294540405273,5.752294540405273,5.886744499206543,5.886744499206543,5.886744499206543,,,
147,5.745235443115234,5.745235443115234,5.745235443115234,5.8540825843811035,5.8540825843811035,5.8540825843811035,5.733044624328613,5.733044624328613,5.733044624328613
148,,,,5.788330078125,5.788330078125,5.788330078125,5.645941734313965,5.645941734313965,5.645941734313965
149,,,,5.870522975921631,5.870522975921631,5.870522975921631,,,
150,5.632789611816406,5.632789611816406,5.632789611816406,5.763603210449219,5.763603210449219,5.763603210449219,,,
151,,,,5.883925437927246,5.883925437927246,5.883925437927246,,,
152,,,,5.763891220092773,5.763891220092773,5.763891220092773,,,
153,5.625875473022461,5.625875473022461,5.625875473022461,5.73353910446167,5.73353910446167,5.73353910446167,,,
154,5.686766624450684,5.686766624450684,5.686766624450684,5.784936428070068,5.784936428070068,5.784936428070068,,,
155,5.652026176452637,5.652026176452637,5.652026176452637,5.770021438598633,5.770021438598633,5.770021438598633,5.632559299468994,5.632559299468994,5.632559299468994
156,,,,5.774626731872559,5.774626731872559,5.774626731872559,5.64717960357666,5.64717960357666,5.64717960357666
157,5.627444744110107,5.627444744110107,5.627444744110107,5.733531475067139,5.733531475067139,5.733531475067139,,,
158,,,,5.765435218811035,5.765435218811035,5.765435218811035,,,
159,5.627588748931885,5.627588748931885,5.627588748931885,5.750271797180176,5.750271797180176,5.750271797180176,5.6378302574157715,5.6378302574157715,5.6378302574157715
160,5.5930962562561035,5.5930962562561035,5.5930962562561035,5.725979804992676,5.725979804992676,5.725979804992676,5.587509632110596,5.587509632110596,5.587509632110596
161,,,,5.687209606170654,5.687209606170654,5.687209606170654,5.556578636169434,5.556578636169434,5.556578636169434
162,5.589365482330322,5.589365482330322,5.589365482330322,,,,5.589131832122803,5.589131832122803,5.589131832122803
163,,,,5.690003871917725,5.690003871917725,5.690003871917725,,,
164,5.5898237228393555,5.5898237228393555,5.5898237228393555,5.697098731994629,5.697098731994629,5.697098731994629,5.5950846672058105,5.5950846672058105,5.5950846672058105
165,,,,5.675620079040527,5.675620079040527,5.675620079040527,,,
166,,,,5.673172950744629,5.673172950744629,5.673172950744629,5.56808614730835,5.56808614730835,5.56808614730835
167,5.5866241455078125,5.5866241455078125,5.5866241455078125,5.7193779945373535,5.7193779945373535,5.7193779945373535,,,
168,,,,5.638284206390381,5.638284206390381,5.638284206390381,5.521953105926514,5.521953105926514,5.521953105926514
169,5.492555141448975,5.492555141448975,5.492555141448975,5.608750343322754,5.608750343322754,5.608750343322754,5.501643657684326,5.501643657684326,5.501643657684326
170,5.5176825523376465,5.5176825523376465,5.5176825523376465,5.634809494018555,5.634809494018555,5.634809494018555,,,
171,,,,5.611987113952637,5.611987113952637,5.611987113952637,5.497650146484375,5.497650146484375,5.497650146484375
172,,,,5.588915824890137,5.588915824890137,5.588915824890137,5.462949275970459,5.462949275970459,5.462949275970459
173,5.4384660720825195,5.4384660720825195,5.4384660720825195,5.533640384674072,5.533640384674072,5.533640384674072,5.423552513122559,5.423552513122559,5.423552513122559
174,,,,5.618100166320801,5.618100166320801,5.618100166320801,,,
175,,,,5.595991134643555,5.595991134643555,5.595991134643555,,,
