Step,tokenizedbytes_dataloader,tokenizedbytes_dataloader__MIN,tokenizedbytes_dataloader__MAX,nanosets_dataloader,nanosets_dataloader__MIN,nanosets_dataloader__MAX
545,5.54740571975708,5.54740571975708,5.54740571975708,,,
547,5.5012335777282715,5.5012335777282715,5.5012335777282715,,,
549,5.492982387542725,5.492982387542725,5.492982387542725,,,
550,5.501804351806641,5.501804351806641,5.501804351806641,,,
555,5.429216384887695,5.429216384887695,5.429216384887695,5.484753131866455,5.484753131866455,5.484753131866455
558,,,,5.437884330749512,5.437884330749512,5.437884330749512
564,5.432085990905762,5.432085990905762,5.432085990905762,,,
566,5.423593521118164,5.423593521118164,5.423593521118164,5.434673309326172,5.434673309326172,5.434673309326172
567,5.386681079864502,5.386681079864502,5.386681079864502,,,
568,5.465888500213623,5.465888500213623,5.465888500213623,,,
571,,,,5.43320369720459,5.43320369720459,5.43320369720459
576,5.355058193206787,5.355058193206787,5.355058193206787,,,
577,,,,5.360261917114258,5.360261917114258,5.360261917114258
581,5.393964767456055,5.393964767456055,5.393964767456055,,,
583,5.3815693855285645,5.3815693855285645,5.3815693855285645,,,
587,,,,5.378239631652832,5.378239631652832,5.378239631652832
595,,,,5.33706521987915,5.33706521987915,5.33706521987915
596,5.323872089385986,5.323872089385986,5.323872089385986,,,
597,5.381537437438965,5.381537437438965,5.381537437438965,,,
599,5.324458599090576,5.324458599090576,5.324458599090576,,,
602,,,,5.276883125305176,5.276883125305176,5.276883125305176
603,5.31488037109375,5.31488037109375,5.31488037109375,,,
607,5.279592990875244,5.279592990875244,5.279592990875244,,,
612,,,,5.289007663726807,5.289007663726807,5.289007663726807
613,5.299046516418457,5.299046516418457,5.299046516418457,,,
617,5.237990379333496,5.237990379333496,5.237990379333496,,,
620,5.2915544509887695,5.2915544509887695,5.2915544509887695,,,
621,,,,5.255101203918457,5.255101203918457,5.255101203918457
624,5.277496337890625,5.277496337890625,5.277496337890625,5.213284015655518,5.213284015655518,5.213284015655518
626,5.252625465393066,5.252625465393066,5.252625465393066,,,
627,5.247386455535889,5.247386455535889,5.247386455535889,,,
629,5.233304977416992,5.233304977416992,5.233304977416992,,,
634,,,,5.221930503845215,5.221930503845215,5.221930503845215
635,,,,5.221577167510986,5.221577167510986,5.221577167510986
636,5.185802936553955,5.185802936553955,5.185802936553955,,,
637,5.215914249420166,5.215914249420166,5.215914249420166,,,
638,,,,5.214914321899414,5.214914321899414,5.214914321899414
639,5.171411991119385,5.171411991119385,5.171411991119385,5.226962089538574,5.226962089538574,5.226962089538574
640,5.1986188888549805,5.1986188888549805,5.1986188888549805,,,
641,,,,5.188022136688232,5.188022136688232,5.188022136688232
643,5.185515403747559,5.185515403747559,5.185515403747559,,,
645,5.162160396575928,5.162160396575928,5.162160396575928,,,
649,,,,5.1746439933776855,5.1746439933776855,5.1746439933776855
651,5.204673767089844,5.204673767089844,5.204673767089844,,,
652,,,,5.186028480529785,5.186028480529785,5.186028480529785
653,5.176593780517578,5.176593780517578,5.176593780517578,,,
657,,,,5.144302845001221,5.144302845001221,5.144302845001221
659,,,,5.171636581420898,5.171636581420898,5.171636581420898
662,,,,5.1722211837768555,5.1722211837768555,5.1722211837768555
663,5.128641605377197,5.128641605377197,5.128641605377197,,,
664,5.146056175231934,5.146056175231934,5.146056175231934,,,
665,,,,5.1068243980407715,5.1068243980407715,5.1068243980407715
668,,,,5.1135101318359375,5.1135101318359375,5.1135101318359375
669,5.144972801208496,5.144972801208496,5.144972801208496,,,
670,5.0990309715271,5.0990309715271,5.0990309715271,,,
672,,,,5.104666709899902,5.104666709899902,5.104666709899902
675,5.131044864654541,5.131044864654541,5.131044864654541,,,
676,5.0858869552612305,5.0858869552612305,5.0858869552612305,,,
678,,,,5.110074996948242,5.110074996948242,5.110074996948242
679,,,,5.066248893737793,5.066248893737793,5.066248893737793
681,5.112929344177246,5.112929344177246,5.112929344177246,,,
682,5.063989162445068,5.063989162445068,5.063989162445068,,,
686,5.034909248352051,5.034909248352051,5.034909248352051,,,
687,5.100874900817871,5.100874900817871,5.100874900817871,,,
689,,,,5.052490711212158,5.052490711212158,5.052490711212158
690,5.024318218231201,5.024318218231201,5.024318218231201,,,
691,5.052217483520508,5.052217483520508,5.052217483520508,5.069913864135742,5.069913864135742,5.069913864135742
693,5.081587791442871,5.081587791442871,5.081587791442871,,,
695,,,,5.068861961364746,5.068861961364746,5.068861961364746
696,,,,5.043041229248047,5.043041229248047,5.043041229248047
698,,,,5.03320837020874,5.03320837020874,5.03320837020874
699,4.985661029815674,4.985661029815674,4.985661029815674,,,
700,4.998476028442383,4.998476028442383,4.998476028442383,,,
701,4.961464881896973,4.961464881896973,4.961464881896973,5.052276611328125,5.052276611328125,5.052276611328125
704,,,,5.010879993438721,5.010879993438721,5.010879993438721
706,5.020602226257324,5.020602226257324,5.020602226257324,,,
709,,,,5.0016984939575195,5.0016984939575195,5.0016984939575195
711,,,,4.9830217361450195,4.9830217361450195,4.9830217361450195
713,,,,4.976449012756348,4.976449012756348,4.976449012756348
714,,,,4.992048263549805,4.992048263549805,4.992048263549805
722,4.949443817138672,4.949443817138672,4.949443817138672,,,
723,,,,4.933765888214111,4.933765888214111,4.933765888214111
724,4.997992038726807,4.997992038726807,4.997992038726807,,,
725,4.943205833435059,4.943205833435059,4.943205833435059,4.949517250061035,4.949517250061035,4.949517250061035
726,4.9628376960754395,4.9628376960754395,4.9628376960754395,4.953606128692627,4.953606128692627,4.953606128692627
729,4.902146339416504,4.902146339416504,4.902146339416504,,,
730,,,,4.974372386932373,4.974372386932373,4.974372386932373
732,4.9154229164123535,4.9154229164123535,4.9154229164123535,,,
733,4.92647647857666,4.92647647857666,4.92647647857666,,,
734,4.905038833618164,4.905038833618164,4.905038833618164,4.88473653793335,4.88473653793335,4.88473653793335
736,4.927356719970703,4.927356719970703,4.927356719970703,,,
739,4.874500751495361,4.874500751495361,4.874500751495361,,,
740,,,,4.922562599182129,4.922562599182129,4.922562599182129
744,,,,4.882602691650391,4.882602691650391,4.882602691650391
745,,,,4.880458354949951,4.880458354949951,4.880458354949951
746,,,,4.873392581939697,4.873392581939697,4.873392581939697
748,,,,4.8439507484436035,4.8439507484436035,4.8439507484436035
749,,,,4.865938663482666,4.865938663482666,4.865938663482666
