run_name,tokens,metric,value
SmolLM3 (with TP bug),174587904000.0,mmlu,0.34295079127891204
SmolLM3 (with TP bug),179306496000.0,mmlu,0.34284588997059007
SmolLM3 (with TP bug),184025088000.0,mmlu,0.3412784149156656
SmolLM3 (with TP bug),188743680000.0,mmlu,0.3422259244240366
SmolLM3 (with TP bug),193462272000.0,mmlu,0.3426416089370733
SmolLM3 (with TP bug),198180864000.0,mmlu,0.34817377618820455
SmolLM3 (with TP bug),4718592000.0,arc,0.32837260546304914
SmolLM3 (with TP bug),9437184000.0,arc,0.38857718251916207
SmolLM3 (with TP bug),14155776000.0,arc,0.40511198446352026
SmolLM3 (with TP bug),18874368000.0,arc,0.42327857643557304
SmolLM3 (with TP bug),23592960000.0,arc,0.42423883315521543
SmolLM3 (with TP bug),28311552000.0,arc,0.440119339010124
SmolLM3 (with TP bug),33030144000.0,arc,0.43824838257432114
SmolLM3 (with TP bug),37748736000.0,arc,0.4508021052389653
SmolLM3 (with TP bug),42467328000.0,arc,0.44713273232897804
SmolLM3 (with TP bug),47185920000.0,arc,0.46047074844003166
SmolLM3 (with TP bug),51904512000.0,arc,0.4588217211937349
SmolLM3 (with TP bug),56623104000.0,arc,0.4643792877581273
SmolLM3 (with TP bug),61341696000.0,arc,0.47995742407005204
SmolLM3 (with TP bug),66060288000.0,arc,0.46826843520529526
SmolLM3 (with TP bug),70778880000.0,arc,0.49034356649544364
SmolLM3 (with TP bug),75497472000.0,arc,0.5024361935624734
SmolLM3 (with TP bug),80216064000.0,arc,0.4703347467852587
SmolLM3 (with TP bug),84934656000.0,arc,0.4868120913342756
SmolLM3 (with TP bug),89653248000.0,arc,0.4920615426161501
SmolLM3 (with TP bug),94371840000.0,arc,0.48909243171188566
SmolLM3 (with TP bug),99090432000.0,arc,0.5108939221567208
SmolLM3 (with TP bug),103809024000.0,arc,0.49542280024361934
SmolLM3 (with TP bug),108527616000.0,arc,0.5036413624297583
SmolLM3 (with TP bug),113246208000.0,arc,0.49735121407476357
SmolLM3 (with TP bug),117964800000.0,arc,0.48615204950529184
SmolLM3 (with TP bug),122683392000.0,arc,0.5125601866216201
SmolLM3 (with TP bug),127401984000.0,arc,0.5020325553602004
SmolLM3 (with TP bug),132120576000.0,arc,0.49165790441387713
SmolLM3 (with TP bug),136839168000.0,arc,0.4986368232955264
SmolLM3 (with TP bug),141557760000.0,arc,0.5040392548924972
SmolLM3 (with TP bug),146276352000.0,arc,0.5150911848864067
SmolLM3 (with TP bug),150994944000.0,arc,0.4960368761563301
SmolLM3 (with TP bug),155713536000.0,arc,0.5051374093609589
SmolLM3 (with TP bug),160432128000.0,arc,0.5019406235276542
SmolLM3 (with TP bug),165150720000.0,arc,0.49900024132106047
SmolLM3 (with TP bug),169869312000.0,arc,0.5095853299778215
SmolLM3 (with TP bug),174587904000.0,arc,0.49836318245021316
SmolLM3 (with TP bug),179306496000.0,arc,0.4969188471748198
SmolLM3 (with TP bug),184025088000.0,arc,0.49482596154951103
SmolLM3 (with TP bug),188743680000.0,arc,0.49015611174314244
SmolLM3 (with TP bug),193462272000.0,arc,0.4990921731536066
SmolLM3 (with TP bug),198180864000.0,arc,0.5133961917238368
SmolLM3 (with TP bug),4718592000.0,piqa,0.6153427638737758
SmolLM3 (with TP bug),9437184000.0,piqa,0.6621327529923831
SmolLM3 (with TP bug),14155776000.0,piqa,0.6784548422198041
SmolLM3 (with TP bug),18874368000.0,piqa,0.6887921653971708
SmolLM3 (with TP bug),23592960000.0,piqa,0.7040261153427638
SmolLM3 (with TP bug),28311552000.0,piqa,0.6882480957562568
SmolLM3 (with TP bug),33030144000.0,piqa,0.6931447225244831
SmolLM3 (with TP bug),37748736000.0,piqa,0.7100108813928183
SmolLM3 (with TP bug),42467328000.0,piqa,0.7089227421109902
SmolLM3 (with TP bug),47185920000.0,piqa,0.7089227421109902
SmolLM3 (with TP bug),51904512000.0,piqa,0.7116430903155604
SmolLM3 (with TP bug),56623104000.0,piqa,0.7165397170837867
SmolLM3 (with TP bug),61341696000.0,piqa,0.7154515778019587
SmolLM3 (with TP bug),66060288000.0,piqa,0.7143634385201306
SmolLM3 (with TP bug),70778880000.0,piqa,0.7176278563656148
SmolLM3 (with TP bug),75497472000.0,piqa,0.7230685527747551
SmolLM3 (with TP bug),80216064000.0,piqa,0.7187159956474428
SmolLM3 (with TP bug),84934656000.0,piqa,0.719260065288357
SmolLM3 (with TP bug),89653248000.0,piqa,0.7132752992383025
SmolLM3 (with TP bug),94371840000.0,piqa,0.7306855277475517
SmolLM3 (with TP bug),99090432000.0,piqa,0.7187159956474428
SmolLM3 (with TP bug),103809024000.0,piqa,0.7306855277475517
SmolLM3 (with TP bug),108527616000.0,piqa,0.7285092491838956
SmolLM3 (with TP bug),113246208000.0,piqa,0.7236126224156693
SmolLM3 (with TP bug),117964800000.0,piqa,0.7263329706202394
SmolLM3 (with TP bug),122683392000.0,piqa,0.721436343852013
SmolLM3 (with TP bug),127401984000.0,piqa,0.719260065288357
SmolLM3 (with TP bug),132120576000.0,piqa,0.719804134929271
SmolLM3 (with TP bug),136839168000.0,piqa,0.7225244831338411
SmolLM3 (with TP bug),141557760000.0,piqa,0.7247007616974973
SmolLM3 (with TP bug),146276352000.0,piqa,0.7257889009793254
SmolLM3 (with TP bug),150994944000.0,piqa,0.7159956474428727
SmolLM3 (with TP bug),155713536000.0,piqa,0.7410228509249184
SmolLM3 (with TP bug),160432128000.0,piqa,0.721436343852013
SmolLM3 (with TP bug),165150720000.0,piqa,0.721436343852013
SmolLM3 (with TP bug),169869312000.0,piqa,0.7279651795429815
SmolLM3 (with TP bug),174587904000.0,piqa,0.7268770402611534
SmolLM3 (with TP bug),179306496000.0,piqa,0.7274211099020674
SmolLM3 (with TP bug),184025088000.0,piqa,0.7230685527747551
SmolLM3 (with TP bug),188743680000.0,piqa,0.7274211099020674
SmolLM3 (with TP bug),193462272000.0,piqa,0.7442872687704026
SmolLM3 (with TP bug),198180864000.0,piqa,0.7404787812840044
SmolLM3 (with TP bug),4718592000.0,winogrande,0.47829518547750594
SmolLM3 (with TP bug),9437184000.0,winogrande,0.4964483030781373
SmolLM3 (with TP bug),14155776000.0,winogrande,0.494869771112865
SmolLM3 (with TP bug),18874368000.0,winogrande,0.5082872928176796
SmolLM3 (with TP bug),23592960000.0,winogrande,0.5019731649565904
SmolLM3 (with TP bug),28311552000.0,winogrande,0.5224940805051302
SmolLM3 (with TP bug),33030144000.0,winogrande,0.5138121546961326
SmolLM3 (with TP bug),37748736000.0,winogrande,0.510655090765588
SmolLM3 (with TP bug),42467328000.0,winogrande,0.5027624309392266
SmolLM3 (with TP bug),47185920000.0,winogrande,0.5082872928176796
SmolLM3 (with TP bug),51904512000.0,winogrande,0.5138121546961326
SmolLM3 (with TP bug),56623104000.0,winogrande,0.5082872928176796
SmolLM3 (with TP bug),61341696000.0,winogrande,0.5098658247829518
SmolLM3 (with TP bug),66060288000.0,winogrande,0.5067087608524072
SmolLM3 (with TP bug),70778880000.0,winogrande,0.5138121546961326
SmolLM3 (with TP bug),75497472000.0,winogrande,0.5130228887134964
SmolLM3 (with TP bug),80216064000.0,winogrande,0.5122336227308603
SmolLM3 (with TP bug),84934656000.0,winogrande,0.5011838989739542
SmolLM3 (with TP bug),89653248000.0,winogrande,0.5098658247829518
SmolLM3 (with TP bug),94371840000.0,winogrande,0.5043409629044988
SmolLM3 (with TP bug),99090432000.0,winogrande,0.5201262825572218
SmolLM3 (with TP bug),103809024000.0,winogrande,0.5169692186266772
SmolLM3 (with TP bug),108527616000.0,winogrande,0.5248618784530387
SmolLM3 (with TP bug),113246208000.0,winogrande,0.5327545382794001
SmolLM3 (with TP bug),117964800000.0,winogrande,0.5232833464877664
