run_name,tokens,learning_rate
From scratch,0.0,0.0
From scratch,100100100.1001001,4.004004004004004e-06
From scratch,200200200.2002002,8.008008008008007e-06
From scratch,300300300.3003003,1.2012012012012012e-05
From scratch,400400400.4004004,1.6016016016016015e-05
From scratch,500500500.5005005,2.002002002002002e-05
From scratch,600600600.6006006,2.4024024024024024e-05
From scratch,700700700.7007006,2.8028028028028025e-05
From scratch,800800800.8008008,3.203203203203203e-05
From scratch,900900900.9009008,3.603603603603604e-05
From scratch,1001001001.001001,4.004004004004004e-05
From scratch,1101101101.1011012,4.404404404404404e-05
From scratch,1201201201.2012012,4.804804804804805e-05
From scratch,1301301301.3013012,5.205205205205205e-05
From scratch,1401401401.4014013,5.605605605605605e-05
From scratch,1501501501.5015016,6.0060060060060066e-05
From scratch,1601601601.6016016,6.406406406406406e-05
From scratch,1701701701.7017019,6.806806806806807e-05
From scratch,1801801801.8018017,7.207207207207208e-05
From scratch,1901901901.901902,7.607607607607608e-05
From scratch,2002002002.002002,8.008008008008008e-05
From scratch,2102102102.1021023,8.408408408408409e-05
From scratch,2202202202.2022023,8.808808808808808e-05
From scratch,2302302302.3023024,9.20920920920921e-05
From scratch,2402402402.4024024,9.60960960960961e-05
From scratch,2502502502.5025024,0.00010010010010010012
From scratch,2602602602.6026025,0.0001041041041041041
From scratch,2702702702.702703,0.00010810810810810812
From scratch,2802802802.8028026,0.0001121121121121121
From scratch,2902902902.902903,0.00011611611611611612
From scratch,3003003003.003003,0.00012012012012012013
From scratch,3103103103.103103,0.00012412412412412413
From scratch,3203203203.203203,0.00012812812812812812
From scratch,3303303303.3033032,0.00013213213213213211
From scratch,3403403403.4034038,0.00013613613613613614
From scratch,3503503503.503504,0.00014014014014014013
From scratch,3603603603.6036034,0.00014414414414414415
From scratch,3703703703.7037034,0.00014814814814814815
From scratch,3803803803.803804,0.00015215215215215217
From scratch,3903903903.903904,0.00015615615615615616
From scratch,4004004004.004004,0.00016016016016016016
From scratch,4104104104.104104,0.00016416416416416415
From scratch,4204204204.2042046,0.00016816816816816817
From scratch,4304304304.304304,0.0001721721721721722
From scratch,4404404404.404405,0.00017617617617617616
From scratch,4504504504.504504,0.00018018018018018016
From scratch,4604604604.604605,0.0001841841841841842
From scratch,4704704704.704705,0.0001881881881881882
From scratch,4804804804.804805,0.0001921921921921922
From scratch,4904904904.904904,0.0001961961961961962
From scratch,5005005005.005005,0.0002
From scratch,5105105105.105105,0.0002
From scratch,5205205205.205205,0.0002
From scratch,5305305305.3053055,0.0002
From scratch,5405405405.405406,0.0002
From scratch,5505505505.505506,0.0002
From scratch,5605605605.605605,0.0002
From scratch,5705705705.705706,0.0002
From scratch,5805805805.805806,0.0002
From scratch,5905905905.905906,0.0002
From scratch,6006006006.006006,0.0002
From scratch,6106106106.106106,0.0002
From scratch,6206206206.206206,0.0002
From scratch,6306306306.306306,0.0002
From scratch,6406406406.406406,0.0002
From scratch,6506506506.506507,0.0002
From scratch,6606606606.6066065,0.0002
From scratch,6706706706.706707,0.0002
From scratch,6806806806.8068075,0.0002
From scratch,6906906906.906907,0.0002
From scratch,7007007007.007008,0.0002
From scratch,7107107107.107106,0.0002
From scratch,7207207207.207207,0.0002
From scratch,7307307307.307308,0.0002
From scratch,7407407407.407407,0.0002
From scratch,7507507507.507507,0.0002
From scratch,7607607607.607608,0.0002
From scratch,7707707707.707707,0.0002
From scratch,7807807807.807808,0.0002
From scratch,7907907907.9079075,0.0002
From scratch,8008008008.008008,0.0002
From scratch,8108108108.1081085,0.0002
From scratch,8208208208.208208,0.0002
From scratch,8308308308.308309,0.0002
From scratch,8408408408.408409,0.0002
From scratch,8508508508.508509,0.0002
From scratch,8608608608.608608,0.0002
From scratch,8708708708.708708,0.0002
From scratch,8808808808.80881,0.0002
From scratch,8908908908.908909,0.0002
From scratch,9009009009.009008,0.0002
From scratch,9109109109.10911,0.0002
From scratch,9209209209.20921,0.0002
From scratch,9309309309.309309,0.0002
From scratch,9409409409.40941,0.0002
From scratch,9509509509.509508,0.0002
From scratch,9609609609.60961,0.0002
From scratch,9709709709.709711,0.0002
From scratch,9809809809.809809,0.0002
From scratch,9909909909.90991,0.0002
From scratch,10010010010.01001,0.0002
From scratch,10110110110.11011,0.0002
From scratch,10210210210.21021,0.0002
From scratch,10310310310.31031,0.0002
From scratch,10410410410.41041,0.0002
From scratch,10510510510.510511,0.0002
From scratch,10610610610.610611,0.0002
From scratch,10710710710.71071,0.0002
From scratch,10810810810.810812,0.0002
From scratch,10910910910.910912,0.0002
From scratch,11011011011.011011,0.0002
From scratch,11111111111.11111,0.0002
From scratch,11211211211.21121,0.0002
From scratch,11311311311.311312,0.0002
From scratch,11411411411.411411,0.0002
From scratch,11511511511.51151,0.0002
From scratch,11611611611.611612,0.0002
From scratch,11711711711.711712,0.0002
From scratch,11811811811.811811,0.0002
From scratch,11911911911.911911,0.0002
From scratch,12012012012.012012,0.0002
From scratch,12112112112.112112,0.0002
From scratch,12212212212.212212,0.0002
From scratch,12312312312.312313,0.0002
From scratch,12412412412.412413,0.0002
From scratch,12512512512.512514,0.0002
From scratch,12612612612.612612,0.0002
From scratch,12712712712.712711,0.0002
