Step,throughput_drops,throughput_no_drops
96,13850.3174934013,13213.705119337024
97,13619.165581141671,13908.30261070057
98,13663.61160901519,13845.926905629376
99,13817.596564931133,13846.187286556473
100,13818.115207603078,13859.979140491883
101,13580.416108804362,13540.363819788312
102,13949.877376558614,13746.439354909948
103,13882.475773359987,13843.836773636234
104,13270.325213500922,13967.078081276331
105,13935.95887427744,13935.71017828327
106,13912.75538684719,13978.586495400104
107,13914.91146441924,13662.821983260928
108,13898.40109246471,13721.925629472173
109,13871.3863342389,13933.93941799271
110,13922.128289850438,13861.768433011164
111,13663.662322044953,13941.1232054116
112,13927.43291514686,13869.81850475006
113,13894.878954570897,13772.137410316089
114,13919.240661560563,13961.296940139331
115,13893.478089705,13878.221730110963
116,13848.300453982663,13995.652883441448
117,13754.590917097135,13793.825316492284
118,13751.420124292012,13943.09193583207
119,13918.541494258896,13803.77058247856
120,13543.003845359475,13604.368939357946
121,13859.412627489282,13627.75777837829
122,13789.138429663622,13861.768433011164
123,13978.700234607446,14006.667907365052
124,13830.099278006432,13947.370749591644
125,13882.595432661356,13265.106366681835
126,13674.96622411514,13925.777137233985
127,13712.170868678228,13940.79890853046
128,13914.408069446225,13876.398299280168
129,13861.753520331264,13960.782620237274
130,13935.461491165215,13852.968076648298
131,13878.834630029569,13639.283858575904
132,13899.210687101951,13890.639769899826
133,13833.002012966726,13926.92108720524
134,13851.367181738631,13951.50867793696
135,13784.911893040678,13881.032545532502
136,13943.265452145071,13729.623860850776
137,13811.938480932467,13865.557293112688
138,14004.513746211496,13886.036519961395
139,13930.233581037872,13965.995644874056
140,13512.652425400624,13527.413444367105
141,13972.318536587743,13935.340918787762
142,13850.176058200204,13303.118681551268
143,13769.193946210506,13935.672497846364
144,13724.97318417009,13966.517918414756
145,13849.513584396418,13960.888506531111
146,13667.9525580004,13967.608006421788
147,13915.670382400349,13900.88264857794
148,13866.504831789998,13320.784601738073
149,13927.952308425693,13973.91720350343
150,13619.97896260106,13905.188113212942
151,13912.935660415968,13972.59126904302
152,13790.496191931778,13908.580356530849
153,13732.748017875623,13795.110153481806
154,13870.72929588154,13916.932924408931
155,13845.80043842682,13983.478953265956
156,14002.687414927728,13896.385012065735
157,13904.99303450051,13915.242071977502
158,13946.910292595092,13917.940116215956
159,13881.189566135456,13896.752209907809
160,13870.09471565282,13920.646726732435
161,13970.386986461035,13758.556464969071
162,13935.672497846364,13840.97409403233
163,13814.989123226676,13945.612118542393
164,13355.959916266773,13962.363518347343
165,13922.752596151198,13942.058471609816
166,13864.236923697696,13784.897145268887
167,13896.257621430055,13730.42122716907
168,13817.544702805246,13915.828187623729
169,13732.074777231755,14033.692978362244
170,13784.852902142848,13837.183795390683
171,13911.493602661612,13746.615344156096
172,13828.94149352632,13498.99831955311
173,13609.405388562836,14008.936963108974
