"Step","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MIN","04/04/2025_00:34:52_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MAX"
"112","13927.432915146861","13927.432915146861","13927.432915146861"
"113","13894.878954570895","13894.878954570895","13894.878954570895"
"114","13919.240661560565","13919.240661560565","13919.240661560565"
"115","13893.478089705","13893.478089705","13893.478089705"
"116","13848.300453982665","13848.300453982665","13848.300453982665"
"117","13754.590917097135","13754.590917097135","13754.590917097135"
"118","13751.420124292012","13751.420124292012","13751.420124292012"
"119","13918.541494258896","13918.541494258896","13918.541494258896"
"120","13543.003845359475","13543.003845359475","13543.003845359475"
"121","13859.412627489282","13859.412627489282","13859.412627489282"
"122","13789.138429663622","13789.138429663622","13789.138429663622"
"123","13978.700234607446","13978.700234607446","13978.700234607446"
"124","13830.099278006433","13830.099278006433","13830.099278006433"
"125","13882.595432661357","13882.595432661357","13882.595432661357"
"126","13674.96622411514","13674.96622411514","13674.96622411514"
"127","13712.170868678228","13712.170868678228","13712.170868678228"
"128","13914.408069446223","13914.408069446223","13914.408069446223"
"129","13861.753520331265","13861.753520331265","13861.753520331265"
"130","13935.461491165217","13935.461491165217","13935.461491165217"
"131","13878.834630029567","13878.834630029567","13878.834630029567"
"132","13899.210687101951","13899.210687101951","13899.210687101951"
"133","13833.002012966726","13833.002012966726","13833.002012966726"
"134","13851.367181738633","13851.367181738633","13851.367181738633"
"135","13784.911893040678","13784.911893040678","13784.911893040678"
"136","13943.265452145073","13943.265452145073","13943.265452145073"
"137","13811.938480932467","13811.938480932467","13811.938480932467"
"138","14004.513746211496","14004.513746211496","14004.513746211496"
"139","13930.233581037872","13930.233581037872","13930.233581037872"
"140","13512.652425400624","13512.652425400624","13512.652425400624"
"141","13972.318536587745","13972.318536587745","13972.318536587745"
"142","13850.176058200204","13850.176058200204","13850.176058200204"
"143","13769.193946210506","13769.193946210506","13769.193946210506"
"144","13724.97318417009","13724.97318417009","13724.97318417009"
"145","13849.513584396418","13849.513584396418","13849.513584396418"
"146","13667.9525580004","13667.9525580004","13667.9525580004"
"147","13915.670382400349","13915.670382400349","13915.670382400349"
"148","13866.504831789998","13866.504831789998","13866.504831789998"
"149","13927.952308425693","13927.952308425693","13927.952308425693"
"150","13619.97896260106","13619.97896260106","13619.97896260106"
"151","13912.935660415968","13912.935660415968","13912.935660415968"
"152","13790.496191931778","13790.496191931778","13790.496191931778"
