"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length__MAX"
"90","5038","5038","5038","7764.267578125","7764.267578125","7764.267578125"
"91","5094","5094","5094","7296.1044921875","7296.1044921875","7296.1044921875"
"92","5150","5150","5150","4549.93603515625","4549.93603515625","4549.93603515625"
"93","5206","5206","5206","7846.54638671875","7846.54638671875","7846.54638671875"
"94","5262","5262","5262","5494.8896484375","5494.8896484375","5494.8896484375"
"95","5318","5318","5318","6114.259765625","6114.259765625","6114.259765625"
"96","5374","5374","5374","3658.55908203125","3658.55908203125","3658.55908203125"
"97","5430","5430","5430","2662.484375","2662.484375","2662.484375"
"98","5486","5486","5486","6659.3828125","6659.3828125","6659.3828125"
"99","5542","5542","5542","6309.89208984375","6309.89208984375","6309.89208984375"
"100","5598","5598","5598","6281.54443359375","6281.54443359375","6281.54443359375"
"101","5654","5654","5654","7897.1103515625","7897.1103515625","7897.1103515625"
"102","5710","5710","5710","5213.3359375","5213.3359375","5213.3359375"
"103","5766","5766","5766","4260.9375","4260.9375","4260.9375"
"104","5822","5822","5822","6274.25390625","6274.25390625","6274.25390625"
"105","5878","5878","5878","6611.625","6611.625","6611.625"
"106","5934","5934","5934","7481.13916015625","7481.13916015625","7481.13916015625"
"107","5990","5990","5990","6156.9765625","6156.9765625","6156.9765625"
"108","6046","6046","6046","6094.953125","6094.953125","6094.953125"
"109","6102","6102","6102","6392.4609375","6392.4609375","6392.4609375"
"110","6158","6158","6158","4757.359375","4757.359375","4757.359375"
"111","6214","6214","6214","4821.2421875","4821.2421875","4821.2421875"
"112","6270","6270","6270","6299.744140625","6299.744140625","6299.744140625"
"113","6326","6326","6326","4813.33837890625","4813.33837890625","4813.33837890625"
"114","6382","6382","6382","4158.6484375","4158.6484375","4158.6484375"
"115","6438","6438","6438","7612.828125","7612.828125","7612.828125"
"116","6494","6494","6494","4402.75","4402.75","4402.75"
"117","6550","6550","6550","6454.30712890625","6454.30712890625","6454.30712890625"
"118","6606","6606","6606","6764.8818359375","6764.8818359375","6764.8818359375"
"119","6662","6662","6662","6974.078125","6974.078125","6974.078125"
"120","6718","6718","6718","5776.07861328125","5776.07861328125","5776.07861328125"
"121","6774","6774","6774","4814.18115234375","4814.18115234375","4814.18115234375"
"122","6830","6830","6830","5386.1494140625","5386.1494140625","5386.1494140625"
"123","6886","6886","6886","5286.3623046875","5286.3623046875","5286.3623046875"
"124","6942","6942","6942","1915.8125","1915.8125","1915.8125"
"125","6998","6998","6998","3948.8203125","3948.8203125","3948.8203125"
"126","7054","7054","7054","3251.4921875","3251.4921875","3251.4921875"
"127","7110","7110","7110","4380.046875","4380.046875","4380.046875"
"128","7166","7166","7166","5157.748046875","5157.748046875","5157.748046875"
"129","7222","7222","7222","7847.171875","7847.171875","7847.171875"
"130","7278","7278","7278","6904.4765625","6904.4765625","6904.4765625"
"131","7334","7334","7334","6207.2734375","6207.2734375","6207.2734375"
"132","7390","7390","7390","5907.935546875","5907.935546875","5907.935546875"
"133","7446","7446","7446","4545.6875","4545.6875","4545.6875"
