"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/completions/mean_terminated_length__MAX"
"384","21502","21502","21502","7230.046875","7230.046875","7230.046875"
"385","21558","21558","21558","7050.78125","7050.78125","7050.78125"
"386","21614","21614","21614","6585.8671875","6585.8671875","6585.8671875"
"387","21670","21670","21670","6856.921875","6856.921875","6856.921875"
"388","21726","21726","21726","7898.25","7898.25","7898.25"
"389","21782","21782","21782","4648.859375","4648.859375","4648.859375"
"390","21838","21838","21838","6346.6328125","6346.6328125","6346.6328125"
"391","21894","21894","21894","6117.84375","6117.84375","6117.84375"
"392","21950","21950","21950","7848.5390625","7848.5390625","7848.5390625"
"393","22006","22006","22006","6041.1875","6041.1875","6041.1875"
"394","22062","22062","22062","6548.75","6548.75","6548.75"
"395","22118","22118","22118","6984.9296875","6984.9296875","6984.9296875"
"396","22174","22174","22174","5631.109375","5631.109375","5631.109375"
"397","22230","22230","22230","9021.9765625","9021.9765625","9021.9765625"
"398","22286","22286","22286","5985.1484375","5985.1484375","5985.1484375"
"399","22342","22342","22342","5312.03125","5312.03125","5312.03125"
"400","22398","22398","22398","5663.96875","5663.96875","5663.96875"
"401","22454","22454","22454","6445.6484375","6445.6484375","6445.6484375"
"402","22510","22510","22510","6111.015625","6111.015625","6111.015625"
"403","22566","22566","22566","6581.5625","6581.5625","6581.5625"
"404","22622","22622","22622","5882.1328125","5882.1328125","5882.1328125"
"405","22678","22678","22678","7125.484375","7125.484375","7125.484375"
"406","22734","22734","22734","6236.0234375","6236.0234375","6236.0234375"
"407","22790","22790","22790","9793.6484375","9793.6484375","9793.6484375"
"408","22846","22846","22846","6219.375","6219.375","6219.375"
"409","22902","22902","22902","7720.671875","7720.671875","7720.671875"
"410","22958","22958","22958","5601.140625","5601.140625","5601.140625"
"411","23014","23014","23014","5006.7109375","5006.7109375","5006.7109375"
"412","23070","23070","23070","7174.19677734375","7174.19677734375","7174.19677734375"
"413","23126","23126","23126","5732.4921875","5732.4921875","5732.4921875"
"414","23182","23182","23182","4828.015625","4828.015625","4828.015625"
"415","23238","23238","23238","8922.671875","8922.671875","8922.671875"
"416","23294","23294","23294","9113.859375","9113.859375","9113.859375"
"417","23350","23350","23350","6791.59375","6791.59375","6791.59375"
"418","23406","23406","23406","5537.921875","5537.921875","5537.921875"
"419","23462","23462","23462","8855.8515625","8855.8515625","8855.8515625"
"420","23518","23518","23518","4122.078125","4122.078125","4122.078125"
"421","23574","23574","23574","6282.9296875","6282.9296875","6282.9296875"
"422","23630","23630","23630","6703.296875","6703.296875","6703.296875"
"423","23686","23686","23686","7427.859375","7427.859375","7427.859375"
"424","23742","23742","23742","9656.56640625","9656.56640625","9656.56640625"
"425","23798","23798","23798","7711.71875","7711.71875","7711.71875"
"426","23854","23854","23854","6602.625","6602.625","6602.625"
"427","23910","23910","23910","6091.8984375","6091.8984375","6091.8984375"
"428","23966","23966","23966","4041.0078125","4041.0078125","4041.0078125"
"429","24022","24022","24022","6483.2578125","6483.2578125","6483.2578125"
"430","24078","24078","24078","6092.4296875","6092.4296875","6092.4296875"
"431","24134","24134","24134","8895.0712890625","8895.0712890625","8895.0712890625"
"432","24190","24190","24190","8877.9287109375","8877.9287109375","8877.9287109375"
"433","24246","24246","24246","6564.296875","6564.296875","6564.296875"
"434","24302","24302","24302","5590.703125","5590.703125","5590.703125"
"435","24358","24358","24358","10083.3544921875","10083.3544921875","10083.3544921875"
"436","24414","24414","24414","7162.19873046875","7162.19873046875","7162.19873046875"
"437","24470","24470","24470","6791.765625","6791.765625","6791.765625"
"438","24526","24526","24526","8104.22021484375","8104.22021484375","8104.22021484375"
"439","24582","24582","24582","6347.7890625","6347.7890625","6347.7890625"
"440","24638","24638","24638","7126.8984375","7126.8984375","7126.8984375"
"441","24694","24694","24694","7684.2578125","7684.2578125","7684.2578125"
"442","24750","24750","24750","6454.515625","6454.515625","6454.515625"
"443","24806","24806","24806","7602.1640625","7602.1640625","7602.1640625"
"444","24862","24862","24862","5340.75","5340.75","5340.75"
"445","24918","24918","24918","5232.4921875","5232.4921875","5232.4921875"
"446","24974","24974","24974","8700.03125","8700.03125","8700.03125"
"447","25030","25030","25030","6209.875","6209.875","6209.875"
"448","25086","25086","25086","5210.244140625","5210.244140625","5210.244140625"
"449","25142","25142","25142","6244.421875","6244.421875","6244.421875"
"450","25198","25198","25198","6391.8671875","6391.8671875","6391.8671875"
"451","25254","25254","25254","7456.71875","7456.71875","7456.71875"
"452","25310","25310","25310","6093.8203125","6093.8203125","6093.8203125"
"453","25366","25366","25366","5172.734375","5172.734375","5172.734375"
"454","25422","25422","25422","6510.3515625","6510.3515625","6510.3515625"
"455","25478","25478","25478","6924.4140625","6924.4140625","6924.4140625"
"456","25534","25534","25534","5364.015625","5364.015625","5364.015625"
"457","25590","25590","25590","5680.1484375","5680.1484375","5680.1484375"
"458","25646","25646","25646","4545.1669921875","4545.1669921875","4545.1669921875"
"459","25702","25702","25702","5015.421875","5015.421875","5015.421875"
"460","25758","25758","25758","8071.2578125","8071.2578125","8071.2578125"
"461","25814","25814","25814","5159.38623046875","5159.38623046875","5159.38623046875"
"462","25870","25870","25870","7052.8515625","7052.8515625","7052.8515625"
"463","25926","25926","25926","6924.1328125","6924.1328125","6924.1328125"
"464","25982","25982","25982","5865.54443359375","5865.54443359375","5865.54443359375"
"465","26038","26038","26038","5929.0546875","5929.0546875","5929.0546875"
"466","26094","26094","26094","7840.65625","7840.65625","7840.65625"
"467","26150","26150","26150","6898.0625","6898.0625","6898.0625"
"468","26206","26206","26206","4405.7109375","4405.7109375","4405.7109375"
"469","26262","26262","26262","6901.40625","6901.40625","6901.40625"
"470","26318","26318","26318","6855.015625","6855.015625","6855.015625"
"471","26374","26374","26374","8332.4296875","8332.4296875","8332.4296875"
"472","26430","26430","26430","6940.1328125","6940.1328125","6940.1328125"
"473","26486","26486","26486","7029.8818359375","7029.8818359375","7029.8818359375"
"474","26542","26542","26542","4285.8125","4285.8125","4285.8125"
"475","26598","26598","26598","5482.546875","5482.546875","5482.546875"
"476","26654","26654","26654","4736.5390625","4736.5390625","4736.5390625"
"477","26710","26710","26710","6696.6875","6696.6875","6696.6875"
"478","26766","26766","26766","7096.2578125","7096.2578125","7096.2578125"
"479","26822","26822","26822","8785.96875","8785.96875","8785.96875"
"480","26878","26878","26878","5602.33056640625","5602.33056640625","5602.33056640625"
"481","26934","26934","26934","6990.51171875","6990.51171875","6990.51171875"
"482","26990","26990","26990","5813.2734375","5813.2734375","5813.2734375"
"483","27046","27046","27046","6625.0859375","6625.0859375","6625.0859375"
"484","27102","27102","27102","9532.3544921875","9532.3544921875","9532.3544921875"
"485","27158","27158","27158","7354.4921875","7354.4921875","7354.4921875"
"486","27214","27214","27214","7607.2265625","7607.2265625","7607.2265625"
"487","27270","27270","27270","8647.8896484375","8647.8896484375","8647.8896484375"
"488","27326","27326","27326","6565.2265625","6565.2265625","6565.2265625"
"489","27382","27382","27382","4628.6328125","4628.6328125","4628.6328125"
"490","27438","27438","27438","4551.953125","4551.953125","4551.953125"
"491","27494","27494","27494","7202.84375","7202.84375","7202.84375"
"492","27550","27550","27550","7872.1640625","7872.1640625","7872.1640625"
"493","27606","27606","27606","6300.1484375","6300.1484375","6300.1484375"
"494","27662","27662","27662","5620.3984375","5620.3984375","5620.3984375"
"495","27718","27718","27718","8063.5859375","8063.5859375","8063.5859375"
"496","27774","27774","27774","7961.9453125","7961.9453125","7961.9453125"
"497","27830","27830","27830","8700.1953125","8700.1953125","8700.1953125"
"498","27886","27886","27886","5730.2734375","5730.2734375","5730.2734375"
"499","27942","27942","27942","8551.359375","8551.359375","8551.359375"
"500","27998","27998","27998","8674.78125","8674.78125","8674.78125"
"501","28054","28054","28054","4438.578125","4438.578125","4438.578125"
"502","28110","28110","28110","5939.8017578125","5939.8017578125","5939.8017578125"
"503","28166","28166","28166","6998.0546875","6998.0546875","6998.0546875"
"504","28222","28222","28222","7659.96875","7659.96875","7659.96875"
"505","28278","28278","28278","8349.8125","8349.8125","8349.8125"
"506","28334","28334","28334","7809.5078125","7809.5078125","7809.5078125"
"507","28390","28390","28390","6342.15625","6342.15625","6342.15625"
"508","28446","28446","28446","8925.0078125","8925.0078125","8925.0078125"
"509","28502","28502","28502","6225.2109375","6225.2109375","6225.2109375"
"510","28558","28558","28558","5966.46435546875","5966.46435546875","5966.46435546875"
"511","28614","28614","28614","6298.0625","6298.0625","6298.0625"
"512","28670","28670","28670","4911.2265625","4911.2265625","4911.2265625"
"513","28726","28726","28726","8561.1640625","8561.1640625","8561.1640625"
"514","28782","28782","28782","5540.96826171875","5540.96826171875","5540.96826171875"
"515","28838","28838","28838","8436.7421875","8436.7421875","8436.7421875"
"516","28894","28894","28894","5260.921875","5260.921875","5260.921875"
"517","28950","28950","28950","6641.6796875","6641.6796875","6641.6796875"
"518","29006","29006","29006","5657.71875","5657.71875","5657.71875"
"519","29062","29062","29062","7504.6875","7504.6875","7504.6875"
"520","29118","29118","29118","8436.6953125","8436.6953125","8436.6953125"
"521","29174","29174","29174","6122.9609375","6122.9609375","6122.9609375"
"522","29230","29230","29230","7026.9375","7026.9375","7026.9375"
"523","29286","29286","29286","7309.5234375","7309.5234375","7309.5234375"
"524","29342","29342","29342","4547.2265625","4547.2265625","4547.2265625"
"525","29398","29398","29398","6709.0078125","6709.0078125","6709.0078125"
"526","29454","29454","29454","7081.65625","7081.65625","7081.65625"
"527","29510","29510","29510","7160.4453125","7160.4453125","7160.4453125"
"528","29566","29566","29566","7836.1171875","7836.1171875","7836.1171875"
"529","29622","29622","29622","6300.15625","6300.15625","6300.15625"
"530","29678","29678","29678","6643.259765625","6643.259765625","6643.259765625"
"531","29734","29734","29734","5789","5789","5789"
"532","29790","29790","29790","5517.078125","5517.078125","5517.078125"
"533","29846","29846","29846","7712.5703125","7712.5703125","7712.5703125"
"534","29902","29902","29902","6681.40625","6681.40625","6681.40625"
"535","29958","29958","29958","5826.34375","5826.34375","5826.34375"
"536","30014","30014","30014","8143.5859375","8143.5859375","8143.5859375"
"537","30070","30070","30070","5036.8671875","5036.8671875","5036.8671875"
"538","30126","30126","30126","7171.21875","7171.21875","7171.21875"
"539","30182","30182","30182","8328.7421875","8328.7421875","8328.7421875"
"540","30238","30238","30238","6940.15625","6940.15625","6940.15625"
"541","30294","30294","30294","6365.8671875","6365.8671875","6365.8671875"
"542","30350","30350","30350","6921.6455078125","6921.6455078125","6921.6455078125"
"543","30406","30406","30406","6625.1171875","6625.1171875","6625.1171875"
"544","30462","30462","30462","7332.68505859375","7332.68505859375","7332.68505859375"
"545","30518","30518","30518","5349.9140625","5349.9140625","5349.9140625"
"546","30574","30574","30574","5685.390625","5685.390625","5685.390625"
"547","30630","30630","30630","5331.5390625","5331.5390625","5331.5390625"
"548","30686","30686","30686","5944.3984375","5944.3984375","5944.3984375"
"549","30742","30742","30742","7153.671875","7153.671875","7153.671875"
"550","30798","30798","30798","6989.0078125","6989.0078125","6989.0078125"
"551","30854","30854","30854","4510.0625","4510.0625","4510.0625"
"552","30910","30910","30910","7156.0234375","7156.0234375","7156.0234375"
"553","30966","30966","30966","5132.5546875","5132.5546875","5132.5546875"
"554","31022","31022","31022","6062.25","6062.25","6062.25"
"555","31078","31078","31078","6571.8046875","6571.8046875","6571.8046875"
"556","31134","31134","31134","4354.08642578125","4354.08642578125","4354.08642578125"
"557","31190","31190","31190","8999.5234375","8999.5234375","8999.5234375"
"558","31246","31246","31246","6739.0625","6739.0625","6739.0625"
"559","31302","31302","31302","6806.375","6806.375","6806.375"
"560","31358","31358","31358","5420.15625","5420.15625","5420.15625"
"561","31414","31414","31414","5267.5703125","5267.5703125","5267.5703125"
"562","31470","31470","31470","6458.546875","6458.546875","6458.546875"
"563","31526","31526","31526","8009.171875","8009.171875","8009.171875"
"564","31582","31582","31582","7930.078125","7930.078125","7930.078125"
"565","31638","31638","31638","8020.80859375","8020.80859375","8020.80859375"
"566","31694","31694","31694","7003.0078125","7003.0078125","7003.0078125"
"567","31750","31750","31750","6306.04736328125","6306.04736328125","6306.04736328125"
"568","31806","31806","31806","7660.09375","7660.09375","7660.09375"
"569","31862","31862","31862","8319.0625","8319.0625","8319.0625"
"570","31918","31918","31918","6716.1328125","6716.1328125","6716.1328125"
"571","31974","31974","31974","5473.671875","5473.671875","5473.671875"
"572","32030","32030","32030","7600.390625","7600.390625","7600.390625"
"573","32086","32086","32086","6346.2734375","6346.2734375","6346.2734375"
"574","32142","32142","32142","6580.5625","6580.5625","6580.5625"
"575","32198","32198","32198","7448.703125","7448.703125","7448.703125"
"576","32254","32254","32254","7396.56689453125","7396.56689453125","7396.56689453125"
"577","32310","32310","32310","6498.109375","6498.109375","6498.109375"
"578","32366","32366","32366","7602.171875","7602.171875","7602.171875"
"579","32422","32422","32422","5158.65087890625","5158.65087890625","5158.65087890625"
"580","32478","32478","32478","6253.25","6253.25","6253.25"
"581","32534","32534","32534","5594.4833984375","5594.4833984375","5594.4833984375"
"582","32590","32590","32590","5936.83447265625","5936.83447265625","5936.83447265625"
"583","32646","32646","32646","5055.921875","5055.921875","5055.921875"
"584","32702","32702","32702","9275.390625","9275.390625","9275.390625"
"585","32758","32758","32758","6550.765625","6550.765625","6550.765625"
"586","32814","32814","32814","6989.046875","6989.046875","6989.046875"
"587","32870","32870","32870","5915.421875","5915.421875","5915.421875"
"588","32926","32926","32926","7474.4609375","7474.4609375","7474.4609375"
"589","32982","32982","32982","6523.8046875","6523.8046875","6523.8046875"
"590","33038","33038","33038","7999.34619140625","7999.34619140625","7999.34619140625"
"591","33094","33094","33094","6587.40966796875","6587.40966796875","6587.40966796875"
"592","33150","33150","33150","6237.6171875","6237.6171875","6237.6171875"
"593","33206","33206","33206","8461.8828125","8461.8828125","8461.8828125"
"594","33262","33262","33262","5626.8203125","5626.8203125","5626.8203125"
"595","33318","33318","33318","5895.1875","5895.1875","5895.1875"
"596","33374","33374","33374","4052.7265625","4052.7265625","4052.7265625"
"597","33430","33430","33430","5450.515625","5450.515625","5450.515625"
"598","33486","33486","33486","6994.1640625","6994.1640625","6994.1640625"
"599","33542","33542","33542","7271.50830078125","7271.50830078125","7271.50830078125"
"600","33598","33598","33598","7390.84228515625","7390.84228515625","7390.84228515625"
"601","33654","33654","33654","5571.92138671875","5571.92138671875","5571.92138671875"
"602","33710","33710","33710","5823.828125","5823.828125","5823.828125"
"603","33766","33766","33766","6251.9140625","6251.9140625","6251.9140625"
"604","33822","33822","33822","6524.0400390625","6524.0400390625","6524.0400390625"
"605","33878","33878","33878","8687.9365234375","8687.9365234375","8687.9365234375"
"606","33934","33934","33934","7116.5625","7116.5625","7116.5625"
"607","33990","33990","33990","10653.6162109375","10653.6162109375","10653.6162109375"
"608","34046","34046","34046","6775.75","6775.75","6775.75"
"609","34102","34102","34102","7374.12841796875","7374.12841796875","7374.12841796875"
"610","34158","34158","34158","9946.349609375","9946.349609375","9946.349609375"
"611","34214","34214","34214","7951.30224609375","7951.30224609375","7951.30224609375"
"612","34270","34270","34270","7839.8740234375","7839.8740234375","7839.8740234375"
"613","34326","34326","34326","5245.125","5245.125","5245.125"
"614","34382","34382","34382","7120.015625","7120.015625","7120.015625"
"615","34438","34438","34438","7709.609375","7709.609375","7709.609375"
"616","34494","34494","34494","7442.3828125","7442.3828125","7442.3828125"
"617","34550","34550","34550","7619.82666015625","7619.82666015625","7619.82666015625"
"618","34606","34606","34606","7774.421875","7774.421875","7774.421875"
"619","34662","34662","34662","5952.5078125","5952.5078125","5952.5078125"
"620","34718","34718","34718","7461.921875","7461.921875","7461.921875"
"621","34774","34774","34774","7280.1640625","7280.1640625","7280.1640625"
"622","34830","34830","34830","7274.96630859375","7274.96630859375","7274.96630859375"
"623","34886","34886","34886","7229.5849609375","7229.5849609375","7229.5849609375"
