run_name,step,throughput
With drops,111,13663.662322044953
Without drops,111,13941.1232054116
With drops,112,13927.43291514686
Without drops,112,13869.81850475006
With drops,113,13894.878954570897
Without drops,113,13772.137410316089
With drops,114,13919.240661560563
Without drops,114,13961.296940139331
With drops,115,13893.478089705
Without drops,115,13878.221730110963
With drops,116,13848.300453982663
Without drops,116,13995.652883441448
With drops,117,13754.590917097135
Without drops,117,13793.825316492284
With drops,118,13751.420124292012
Without drops,118,13943.09193583207
With drops,119,13918.541494258896
Without drops,119,13803.77058247856
With drops,120,13543.003845359475
Without drops,120,13604.368939357946
With drops,121,13859.412627489282
Without drops,121,13627.75777837829
With drops,122,13789.138429663622
Without drops,122,13861.768433011164
With drops,123,13978.700234607446
Without drops,123,14006.667907365052
With drops,124,13830.099278006432
Without drops,124,13947.370749591644
With drops,125,13882.595432661356
Without drops,125,13265.106366681835
With drops,126,13674.96622411514
Without drops,126,13925.777137233985
With drops,127,13712.170868678228
Without drops,127,13940.79890853046
With drops,128,13914.408069446225
Without drops,128,13876.398299280168
With drops,129,13861.753520331264
Without drops,129,13960.782620237274
With drops,130,13935.461491165215
Without drops,130,13852.968076648298
With drops,131,13878.834630029569
Without drops,131,13639.283858575904
With drops,132,13899.210687101951
Without drops,132,13890.639769899826
With drops,133,13833.002012966726
Without drops,133,13926.92108720524
With drops,134,13851.367181738631
Without drops,134,13951.50867793696
With drops,135,13784.911893040678
Without drops,135,13881.032545532502
With drops,136,13943.265452145071
Without drops,136,13729.623860850776
With drops,137,13811.938480932467
Without drops,137,13865.557293112688
With drops,138,14004.513746211496
Without drops,138,13886.036519961395
With drops,139,13930.233581037872
Without drops,139,13965.995644874056
With drops,140,13512.652425400624
Without drops,140,13527.413444367105
With drops,141,13972.318536587743
Without drops,141,13935.340918787762
With drops,142,13850.176058200204
Without drops,142,13303.118681551268
With drops,143,13769.193946210506
Without drops,143,13935.672497846364
With drops,144,13724.97318417009
Without drops,144,13966.517918414756
With drops,145,13849.513584396418
Without drops,145,13960.888506531111
With drops,146,13667.9525580004
Without drops,146,13967.608006421788
With drops,147,13915.670382400349
Without drops,147,13900.88264857794
With drops,148,13866.504831789998
Without drops,148,13320.784601738073
With drops,149,13927.952308425693
Without drops,149,13973.91720350343
With drops,150,13619.97896260106
Without drops,150,13905.188113212942
With drops,151,13912.935660415968
Without drops,151,13972.59126904302
With drops,152,13790.496191931778
Without drops,152,13908.580356530849
With drops,153,13732.748017875623
Without drops,153,13795.110153481806
With drops,154,13870.72929588154
Without drops,154,13916.932924408931
With drops,155,13845.80043842682
Without drops,155,13983.478953265956
With drops,156,14002.687414927728
Without drops,156,13896.385012065735
With drops,157,13904.99303450051
Without drops,157,13915.242071977502
With drops,158,13946.910292595092
Without drops,158,13917.940116215956
With drops,159,13881.189566135456
Without drops,159,13896.752209907809
With drops,160,13870.09471565282
Without drops,160,13920.646726732435
With drops,161,13970.386986461035
Without drops,161,13758.556464969071
With drops,162,13935.672497846364
Without drops,162,13840.97409403233
With drops,163,13814.989123226676
Without drops,163,13945.612118542393
With drops,164,13355.959916266773
Without drops,164,13962.363518347343
With drops,165,13922.752596151198
Without drops,165,13942.058471609816
With drops,166,13864.236923697696
Without drops,166,13784.897145268887
With drops,167,13896.257621430055
Without drops,167,13730.42122716907
With drops,168,13817.544702805246
Without drops,168,13915.828187623729
With drops,169,13732.074777231755
Without drops,169,14033.692978362244
With drops,170,13784.852902142848
Without drops,170,13837.183795390683
With drops,171,13911.493602661612
Without drops,171,13746.615344156096
With drops,172,13828.94149352632
Without drops,172,13498.99831955311
With drops,173,13609.405388562836
Without drops,173,14008.936963108974
With drops,174,13638.511478241724
Without drops,174,13747.7520499084
With drops,175,13687.829995538275
Without drops,175,13944.261368420255
With drops,176,13683.316568089753
Without drops,176,13931.762376494553
With drops,177,13738.898052015213
Without drops,177,13906.95907804308
With drops,178,13850.883263093
Without drops,178,13840.156403014244
With drops,179,13769.834042580478
Without drops,179,13894.991335649363
With drops,180,13725.287517403072
Without drops,180,13884.06142652948
With drops,181,13852.94573603406
Without drops,181,13920.398576943064
With drops,182,13725.638418018912
Without drops,182,13904.970525770526
With drops,183,13720.084597716816
Without drops,183,13707.378889837471
With drops,184,13706.737296172563
Without drops,184,13450.368844595643
With drops,185,13929.872141503063
Without drops,185,13920.406096503668
With drops,186,13615.028197640784
Without drops,186,13969.36461728691
With drops,187,13865.475228927358
Without drops,187,13971.750378167251
With drops,188,13937.157261222284
Without drops,188,13815.300186725097
With drops,189,13809.821594181076
Without drops,189,13838.00113518654
With drops,190,13387.954269683352
Without drops,190,13936.772850505477
With drops,191,13868.736162641631
Without drops,191,13767.737396974922
With drops,192,13708.38514631698
Without drops,192,13809.525577826136
With drops,193,13660.641931015618
Without drops,193,13902.51751099343
With drops,194,13832.63817633232
Without drops,194,13885.026458800976
With drops,195,13945.838526849328
Without drops,195,13971.204989552689
With drops,196,13821.73197006502
Without drops,196,13946.789522022513
With drops,197,13912.56009575283
Without drops,197,13927.877031637114
With drops,198,13849.1563214598
Without drops,198,13796.277051910694
With drops,199,13962.60560133938
Without drops,199,13909.42116828153
With drops,200,13777.519843629036
Without drops,200,13868.773481971264
With drops,201,13490.24987043608
Without drops,201,13791.426118173673
With drops,202,13903.695150125444
Without drops,202,13614.77643806841
With drops,203,13805.700708130156
Without drops,203,13747.02600325514
With drops,204,13811.309268493467
Without drops,204,13906.59884526322
With drops,205,13813.515465144328
Without drops,205,13883.141404400618
With drops,206,13696.239737574437
Without drops,206,13913.979836724116
With drops,207,13314.73481465407
Without drops,207,13439.846593700488
With drops,208,13744.474447723398
