"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward__MIN","grpo-SmollM3-3B-GRPO-no-think-v18.00 - train/reward__MAX"
"90","5038","5038","5038","0.5859375","0.5859375","0.5859375"
"91","5094","5094","5094","0.30936431884765625","0.30936431884765625","0.30936431884765625"
"92","5150","5150","5150","0.6301803588867188","0.6301803588867188","0.6301803588867188"
"93","5206","5206","5206","0.45306396484375","0.45306396484375","0.45306396484375"
"94","5262","5262","5262","0.70550537109375","0.70550537109375","0.70550537109375"
"95","5318","5318","5318","0.6124267578125","0.6124267578125","0.6124267578125"
"96","5374","5374","5374","0.9375","0.9375","0.9375"
"97","5430","5430","5430","0.832611083984375","0.832611083984375","0.832611083984375"
"98","5486","5486","5486","0.6310501098632812","0.6310501098632812","0.6310501098632812"
"99","5542","5542","5542","0.36264801025390625","0.36264801025390625","0.36264801025390625"
"100","5598","5598","5598","0.7209930419921875","0.7209930419921875","0.7209930419921875"
"101","5654","5654","5654","0.5385894775390625","0.5385894775390625","0.5385894775390625"
"102","5710","5710","5710","0.7953567504882812","0.7953567504882812","0.7953567504882812"
"103","5766","5766","5766","0.796875","0.796875","0.796875"
"104","5822","5822","5822","0.5805816650390625","0.5805816650390625","0.5805816650390625"
"105","5878","5878","5878","0.6439361572265625","0.6439361572265625","0.6439361572265625"
"106","5934","5934","5934","0.46875","0.46875","0.46875"
"107","5990","5990","5990","0.47966766357421875","0.47966766357421875","0.47966766357421875"
"108","6046","6046","6046","0.6593704223632812","0.6593704223632812","0.6593704223632812"
"109","6102","6102","6102","0.6574020385742188","0.6574020385742188","0.6574020385742188"
"110","6158","6158","6158","0.8828125","0.8828125","0.8828125"
"111","6214","6214","6214","0.8203125","0.8203125","0.8203125"
"112","6270","6270","6270","0.6243972778320312","0.6243972778320312","0.6243972778320312"
"113","6326","6326","6326","0.6300811767578125","0.6300811767578125","0.6300811767578125"
"114","6382","6382","6382","0.8671875","0.8671875","0.8671875"
"115","6438","6438","6438","0.7114105224609375","0.7114105224609375","0.7114105224609375"
"116","6494","6494","6494","0.9112472534179688","0.9112472534179688","0.9112472534179688"
"117","6550","6550","6550","0.7340927124023438","0.7340927124023438","0.7340927124023438"
"118","6606","6606","6606","0.5224227905273438","0.5224227905273438","0.5224227905273438"
"119","6662","6662","6662","0.6457138061523438","0.6457138061523438","0.6457138061523438"
"120","6718","6718","6718","0.8291854858398438","0.8291854858398438","0.8291854858398438"
"121","6774","6774","6774","0.58514404296875","0.58514404296875","0.58514404296875"
"122","6830","6830","6830","0.75042724609375","0.75042724609375","0.75042724609375"
"123","6886","6886","6886","0.71875","0.71875","0.71875"
"124","6942","6942","6942","0.9140625","0.9140625","0.9140625"
"125","6998","6998","6998","0.7734375","0.7734375","0.7734375"
"126","7054","7054","7054","0.953125","0.953125","0.953125"
"127","7110","7110","7110","0.8046875","0.8046875","0.8046875"
"128","7166","7166","7166","0.6080474853515625","0.6080474853515625","0.6080474853515625"
"129","7222","7222","7222","0.683624267578125","0.683624267578125","0.683624267578125"
"130","7278","7278","7278","0.5078125","0.5078125","0.5078125"
"131","7334","7334","7334","0.78125","0.78125","0.78125"
"132","7390","7390","7390","0.6173324584960938","0.6173324584960938","0.6173324584960938"
"133","7446","7446","7446","0.609375","0.609375","0.609375"
"134","7502","7502","7502","0.5655899047851562","0.5655899047851562","0.5655899047851562"
"135","7558","7558","7558","0.6761703491210938","0.6761703491210938","0.6761703491210938"
"136","7614","7614","7614","0.796875","0.796875","0.796875"
"137","7670","7670","7670","0.6965484619140625","0.6965484619140625","0.6965484619140625"
"138","7726","7726","7726","0.6484375","0.6484375","0.6484375"
"139","7782","7782","7782","0.6402740478515625","0.6402740478515625","0.6402740478515625"
