Step,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MIN,04/04/2025_02:44:57_elie-smollm3-training-3p56G-smollm3-3B-start-0404-stage-1-wo-zloss-seed6-ddp-256-seed-6-_tp_group_1 - tokens_per_sec_per_gpu__MAX
111,14016.000104427338,14016.000104427338,14016.000104427338
112,13840.349666717331,13840.349666717331,13840.349666717331
113,13812.36045550585,13812.36045550585,13812.36045550585
114,13871.699942671816,13871.699942671816,13871.699942671816
115,13884.816983033132,13884.816983033132,13884.816983033132
116,13719.660938118906,13719.660938118906,13719.660938118906
117,13940.097573852787,13940.097573852787,13940.097573852787
118,13735.741810861073,13735.741810861073,13735.741810861073
119,13955.890912517505,13955.890912517505,13955.890912517505
120,13901.610039876401,13901.610039876401,13901.610039876401
121,13960.321277273486,13960.321277273486,13960.321277273486
122,13905.203119494467,13905.203119494467,13905.203119494467
123,14036.704751436228,14036.704751436228,14036.704751436228
124,13974.432491643476,13974.432491643476,13974.432491643476
125,13792.311878819406,13792.311878819406,13792.311878819406
126,13907.349351282244,13907.349351282244,13907.349351282244
127,13884.038985514586,13884.038985514586,13884.038985514586
128,13922.481805819609,13922.481805819609,13922.481805819609
129,13953.593673889525,13953.593673889525,13953.593673889525
130,13911.125625384624,13911.125625384624,13911.125625384624
131,13986.066892659781,13986.066892659781,13986.066892659781
132,13448.143769422852,13448.143769422852,13448.143769422852
133,13938.099534040972,13938.099534040972,13938.099534040972
134,13939.524492531453,13939.524492531453,13939.524492531453
135,13965.344749922506,13965.344749922506,13965.344749922506
136,13997.07442948044,13997.07442948044,13997.07442948044
137,13852.2457666204,13852.2457666204,13852.2457666204
138,13953.835452866866,13953.835452866866,13953.835452866866
139,13937.95630036119,13937.95630036119,13937.95630036119
140,13920.767044966526,13920.767044966526,13920.767044966526
141,13674.501808688177,13674.501808688177,13674.501808688177
142,13845.227645320927,13845.227645320927,13845.227645320927
143,13902.30000712114,13902.30000712114,13902.30000712114
144,13851.37462690498,13851.37462690498,13851.37462690498
145,13896.684763951393,13896.684763951393,13896.684763951393
146,13922.421631620831,13922.421631620831,13922.421631620831
147,13996.184979160353,13996.184979160353,13996.184979160353
148,13935.20527735704,13935.20527735704,13935.20527735704
149,13967.441454185957,13967.441454185957,13967.441454185957
150,13877.945195431714,13877.945195431714,13877.945195431714
151,13731.511354826127,13731.511354826127,13731.511354826127
152,13899.65300549248,13899.65300549248,13899.65300549248
153,13889.157414883126,13889.157414883126,13889.157414883126
154,13939.109792015215,13939.109792015215,13939.109792015215
155,14011.404824483661,14011.404824483661,14011.404824483661
156,13956.488016121844,13956.488016121844,13956.488016121844
157,13967.199203478764,13967.199203478764,13967.199203478764
158,13967.744279387365,13967.744279387365,13967.744279387365
159,13967.184063088576,13967.184063088576,13967.184063088576
160,13943.929380521206,13943.929380521206,13943.929380521206
161,13980.891971423858,13980.891971423858,13980.891971423858
162,13928.396458041805,13928.396458041805,13928.396458041805
163,14034.564272204,14034.564272204,14034.564272204
164,13946.510248084167,13946.510248084167,13946.510248084167
165,13969.546360870227,13969.546360870227,13969.546360870227
166,13807.808933189948,13807.808933189948,13807.808933189948
167,13913.258662243761,13913.258662243761,13913.258662243761
168,13893.905061366562,13893.905061366562,13893.905061366562
169,13921.609330844674,13921.609330844674,13921.609330844674
170,13860.307142872509,13860.307142872509,13860.307142872509
171,13838.86316176127,13838.86316176127,13838.86316176127
172,13857.534520956926,13857.534520956926,13857.534520956926
173,13991.336802328107,13991.336802328107,13991.336802328107
174,13917.68454628381,13917.68454628381,13917.68454628381
175,13756.18420508988,13756.18420508988,13756.18420508988
176,13928.434099141805,13928.434099141805,13928.434099141805
177,13832.979736704378,13832.979736704378,13832.979736704378
178,13748.786248761558,13748.786248761558,13748.786248761558
179,13978.252871069299,13978.252871069299,13978.252871069299
180,13936.486440620218,13936.486440620218,13936.486440620218
181,14000.298684005365,14000.298684005365,14000.298684005365
182,13932.794314814344,13932.794314814344,13932.794314814344
183,13912.169530011268,13912.169530011268,13912.169530011268
184,13958.166226397007,13958.166226397007,13958.166226397007
185,13530.410722761508,13530.410722761508,13530.410722761508
186,13871.909022838494,13871.909022838494,13871.909022838494
187,13625.22868880629,13625.22868880629,13625.22868880629
188,13921.797355000432,13921.797355000432,13921.797355000432
189,13978.821558468751,13978.821558468751,13978.821558468751
190,13917.451534819817,13917.451534819817,13917.451534819817
191,13965.042028756174,13965.042028756174,13965.042028756174
192,13948.057717361595,13948.057717361595,13948.057717361595
193,13460.021694983245,13460.021694983245,13460.021694983245
194,13917.466567582049,13917.466567582049,13917.466567582049
195,13976.903371512934,13976.903371512934,13976.903371512934
196,13820.442169563154,13820.442169563154,13820.442169563154
197,13963.596716118513,13963.596716118513,13963.596716118513
198,13836.797450186881,13836.797450186881,13836.797450186881
199,13908.790549938443,13908.790549938443,13908.790549938443
200,13973.386799522397,13973.386799522397,13973.386799522397
201,14193.562548537726,14193.562548537726,14193.562548537726
202,13909.16591111128,13909.16591111128,13909.16591111128
203,13784.742295570233,13784.742295570233,13784.742295570233
204,13977.760046083024,13977.760046083024,13977.760046083024
205,13823.667122273599,13823.667122273599,13823.667122273599
206,14006.568938444003,14006.568938444003,14006.568938444003
207,13842.40156806544,13842.40156806544,13842.40156806544
208,13932.31222241265,13932.31222241265,13932.31222241265
209,13888.423841059603,13888.423841059603,13888.423841059603
210,13937.006509394167,13937.006509394167,13937.006509394167
211,14023.871660734003,14023.871660734003,14023.871660734003
212,13950.549486933101,13950.549486933101,13950.549486933101
213,13931.702122046316,13931.702122046316,13931.702122046316
214,13923.580076323628,13923.580076323628,13923.580076323628
215,13994.474815455622,13994.474815455622,13994.474815455622
216,13866.728678733378,13866.728678733378,13866.728678733378
217,13951.319850383543,13951.319850383543,13951.319850383543
218,13838.56589908671,13838.56589908671,13838.56589908671
219,13841.093038956771,13841.093038956771,13841.093038956771
220,14012.440976017175,14012.440976017175,14012.440976017175
221,13896.41498667239,13896.41498667239,13896.41498667239
222,14004.41480772993,14004.41480772993,14004.41480772993
223,13953.888343135062,13953.888343135062,13953.888343135062
224,14030.23180057646,14030.23180057646,14030.23180057646
225,13950.36823730856,13950.36823730856,13950.36823730856
226,14051.522519413005,14051.522519413005,14051.522519413005
227,13893.927534286237,13893.927534286237,13893.927534286237
228,13937.541693145673,13937.541693145673,13937.541693145673
229,13726.822840073039,13726.822840073039,13726.822840073039
230,13980.854046259237,13980.854046259237,13980.854046259237
231,13954.099908217388,13954.099908217388,13954.099908217388
232,13926.717871838633,13926.717871838633,13926.717871838633
233,13971.87915669281,13971.87915669281,13971.87915669281
234,13827.984241236576,13827.984241236576,13827.984241236576
235,13998.237727411984,13998.237727411984,13998.237727411984
236,13920.376018309997,13920.376018309997,13920.376018309997
237,13941.794472471915,13941.794472471915,13941.794472471915
238,13993.540102630936,13993.540102630936,13993.540102630936
239,13816.863122473993,13816.863122473993,13816.863122473993
240,13947.046161989383,13947.046161989383,13947.046161989383
241,14007.08663750721,14007.08663750721,14007.08663750721
242,13876.585104177493,13876.585104177493,13876.585104177493
243,13848.404640889916,13848.404640889916,13848.404640889916
244,14019.149191648723,14019.149191648723,14019.149191648723
245,14054.771910094589,14054.771910094589,14054.771910094589
246,13832.578776250295,13832.578776250295,13832.578776250295
247,13819.404573791195,13819.404573791195,13819.404573791195
248,13955.958934399996,13955.958934399996,13955.958934399996
249,13979.253791840436,13979.253791840436,13979.253791840436
250,13937.94876182801,13937.94876182801,13937.94876182801
251,13987.532045370537,13987.532045370537,13987.532045370537
252,13846.135209587594,13846.135209587594,13846.135209587594
253,13905.570783509605,13905.570783509605,13905.570783509605
254,13980.702347658284,13980.702347658284,13980.702347658284
255,13799.239497076274,13799.239497076274,13799.239497076274
256,13964.981486097773,13964.981486097773,13964.981486097773
257,13914.212731952555,13914.212731952555,13914.212731952555
258,13992.301610511518,13992.301610511518,13992.301610511518
259,13768.811388288246,13768.811388288246,13768.811388288246
260,13984.677938066452,13984.677938066452,13984.677938066452
261,13921.677018955665,13921.677018955665,13921.677018955665
262,14012.120971688448,14012.120971688448,14012.120971688448
263,13753.049376865243,13753.049376865243,13753.049376865243
264,13981.498802041737,13981.498802041737,13981.498802041737
