"Step","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu__MIN","30/03/2025_21:53:38_3B-nn48-mbs3-gbs2M-tp2-4heads-bucket128 - tokens_per_sec_per_gpu__MAX"
"79","13983.59277210423","13983.59277210423","13983.59277210423"
"80","13951.735277748301","13951.735277748301","13951.735277748301"
"81","13752.65303665374","13752.65303665374","13752.65303665374"
"82","13946.306460647249","13946.306460647249","13946.306460647249"
"83","13758.666651717283","13758.666651717283","13758.666651717283"
"84","13895.733096361737","13895.733096361737","13895.733096361737"
"85","13887.41343257763","13887.41343257763","13887.41343257763"
"86","13709.683289540395","13709.683289540395","13709.683289540395"
"87","13841.955450801599","13841.955450801599","13841.955450801599"
"88","13951.32740338754","13951.32740338754","13951.32740338754"
"89","13906.163588885995","13906.163588885995","13906.163588885995"
"90","13836.596856378574","13836.596856378574","13836.596856378574"
"91","13929.992619263969","13929.992619263969","13929.992619263969"
"92","13757.102165278668","13757.102165278668","13757.102165278668"
"93","13749.233716344266","13749.233716344266","13749.233716344266"
"94","13720.048074307111","13720.048074307111","13720.048074307111"
"95","13213.705119337023","13213.705119337023","13213.705119337023"
"96","13908.30261070057","13908.30261070057","13908.30261070057"
"97","13845.926905629376","13845.926905629376","13845.926905629376"
"98","13846.187286556471","13846.187286556471","13846.187286556471"
"99","13859.979140491885","13859.979140491885","13859.979140491885"
"100","13540.363819788312","13540.363819788312","13540.363819788312"
"101","13746.439354909948","13746.439354909948","13746.439354909948"
"102","13843.836773636234","13843.836773636234","13843.836773636234"
"103","13967.078081276331","13967.078081276331","13967.078081276331"
"104","13935.71017828327","13935.71017828327","13935.71017828327"
"105","13978.586495400103","13978.586495400103","13978.586495400103"
"106","13662.821983260927","13662.821983260927","13662.821983260927"
"107","13721.925629472173","13721.925629472173","13721.925629472173"
"108","13933.93941799271","13933.93941799271","13933.93941799271"
"109","13861.768433011164","13861.768433011164","13861.768433011164"
"110","13941.123205411599","13941.123205411599","13941.123205411599"
"111","13869.81850475006","13869.81850475006","13869.81850475006"
"112","13772.137410316087","13772.137410316087","13772.137410316087"
"113","13961.296940139333","13961.296940139333","13961.296940139333"
"114","13878.221730110963","13878.221730110963","13878.221730110963"
"115","13995.652883441448","13995.652883441448","13995.652883441448"
"116","13793.825316492284","13793.825316492284","13793.825316492284"
"117","13943.09193583207","13943.09193583207","13943.09193583207"
"118","13803.770582478559","13803.770582478559","13803.770582478559"
"119","13604.368939357946","13604.368939357946","13604.368939357946"
"120","13627.75777837829","13627.75777837829","13627.75777837829"
"121","13861.768433011164","13861.768433011164","13861.768433011164"
"122","14006.667907365052","14006.667907365052","14006.667907365052"
"123","13947.370749591644","13947.370749591644","13947.370749591644"
"124","13265.106366681835","13265.106366681835","13265.106366681835"
"125","13925.777137233985","13925.777137233985","13925.777137233985"
