run_name,message_size,bandwidth
Device Local,4,5
Device Local,16,5
Device Local,64,5
Device Local,256,5
Device Local,1024,5
Device Local,4096,5
Device Local,16384,20
Device Local,65536,50
Device Local,262144,200
Device Local,1048576,380
Device Local,4194304,1150
Device Local,16777216,1975
Device Local,67108864,1425
Device Local,268435456,1380
Device Local,1073741824,1500
