consumed_tokens,11/04/2025_14:07:07_elie-48n-1004-part1-resume1104-farsi-change_tp_group_0 - _step,11/04/2025_14:07:07_elie-48n-1004-part1-resume1104-farsi-change_tp_group_0 - _step__MIN,11/04/2025_14:07:07_elie-48n-1004-part1-resume1104-farsi-change_tp_group_0 - _step__MAX,11/04/2025_14:07:07_elie-48n-1004-part1-resume1104-farsi-change_tp_group_0 - lm_loss,11/04/2025_14:07:07_elie-48n-1004-part1-resume1104-farsi-change_tp_group_0 - lm_loss__MIN,11/04/2025_14:07:07_elie-48n-1004-part1-resume1104-farsi-change_tp_group_0 - lm_loss__MAX,10/04/2025_21:06:56_elie-48n-1004-part1_tp_group_0 - _step,10/04/2025_21:06:56_elie-48n-1004-part1_tp_group_0 - _step__MIN,10/04/2025_21:06:56_elie-48n-1004-part1_tp_group_0 - _step__MAX,10/04/2025_21:06:56_elie-48n-1004-part1_tp_group_0 - lm_loss,10/04/2025_21:06:56_elie-48n-1004-part1_tp_group_0 - lm_loss__MIN,10/04/2025_21:06:56_elie-48n-1004-part1_tp_group_0 - lm_loss__MAX
544997376,,,,,,,231,231,231,6.806365013122559,6.806365013122559,6.806365013122559
566231040,,,,,,,240,240,240,6.725672245025635,6.725672245025635,6.725672245025635
580386816,,,,,,,246,246,246,6.645576000213623,6.645576000213623,6.645576000213623
644087808,,,,,,,273,273,273,6.479562759399414,6.479562759399414,6.479562759399414
648806400,,,,,,,275,275,275,6.48549747467041,6.48549747467041,6.48549747467041
679477248,,,,,,,288,288,288,6.349432468414307,6.349432468414307,6.349432468414307
684195840,,,,,,,290,290,290,6.3825883865356445,6.3825883865356445,6.3825883865356445
703070208,,,,,,,298,298,298,6.366232395172119,6.366232395172119,6.366232395172119
788004864,,,,,,,334,334,334,6.113194465637207,6.113194465637207,6.113194465637207
802160640,,,,,,,340,340,340,6.042601108551025,6.042601108551025,6.042601108551025
828112896,,,,,,,351,351,351,6.012217998504639,6.012217998504639,6.012217998504639
846987264,,,,,,,359,359,359,5.969377517700195,5.969377517700195,5.969377517700195
849346560,,,,,,,360,360,360,5.982513904571533,5.982513904571533,5.982513904571533
858783744,,,,,,,364,364,364,5.886373519897461,5.886373519897461,5.886373519897461
880017408,,,,,,,373,373,373,5.87015962600708,5.87015962600708,5.87015962600708
898891776,,,,,,,381,381,381,5.833348751068115,5.833348751068115,5.833348751068115
920125440,,,,,,,390,390,390,5.760717391967773,5.760717391967773,5.760717391967773
960233472,,,,,,,407,407,407,5.740171909332275,5.740171909332275,5.740171909332275
988545024,,,,,,,419,419,419,5.647792339324951,5.647792339324951,5.647792339324951
1012137984,,,,,,,429,429,429,5.591053009033203,5.591053009033203,5.591053009033203
1033371648,,,,,,,438,438,438,5.530885696411133,5.530885696411133,5.530885696411133
1040449536,,,,,,,441,441,441,5.5745930671691895,5.5745930671691895,5.5745930671691895
1042808832,,,,,,,442,442,442,5.537992000579834,5.537992000579834,5.537992000579834
1049886720,,,,,,,445,445,445,5.533722400665283,5.533722400665283,5.533722400665283
1054605312,,,,,,,447,447,447,5.512701988220215,5.512701988220215,5.512701988220215
1066401792,,,,,,,452,452,452,5.52197790145874,5.52197790145874,5.52197790145874
1134821376,,,,,,,481,481,481,5.4067277908325195,5.4067277908325195,5.4067277908325195
1139539968,,,,,,,483,483,483,5.40524435043335,5.40524435043335,5.40524435043335
1146617856,,,,,,,486,486,486,5.358859062194824,5.358859062194824,5.358859062194824
1151336448,,,,,,,488,488,488,5.330310344696045,5.330310344696045,5.330310344696045
1182007296,,,,,,,501,501,501,5.30348539352417,5.30348539352417,5.30348539352417
1189085184,,,,,,,504,504,504,5.305507659912109,5.305507659912109,5.305507659912109
1203240960,,,,,,,510,510,510,5.266694068908691,5.266694068908691,5.266694068908691
1219756032,,,,,,,517,517,517,5.222795009613037,5.222795009613037,5.222795009613037
1269301248,,,,,,,538,538,538,5.14922571182251,5.14922571182251,5.14922571182251
1278738432,,,,,,,542,542,542,5.133401393890381,5.133401393890381,5.133401393890381
1281097728,,,,,,,543,543,543,5.133233547210693,5.133233547210693,5.133233547210693
1387266048,,,,,,,588,588,588,4.982566833496094,4.982566833496094,4.982566833496094
1389625344,,,,,,,589,589,589,4.937094211578369,4.937094211578369,4.937094211578369
1391984640,,,,,,,590,590,590,4.963428497314453,4.963428497314453,4.963428497314453
1420296192,,,,,,,602,602,602,4.928814888000488,4.928814888000488,4.928814888000488
1458044928,,,,,,,618,618,618,4.843501091003418,4.843501091003418,4.843501091003418
1476919296,,,,,,,626,626,626,4.829645156860352,4.829645156860352,4.829645156860352
1547698176,,,,,,,656,656,656,4.750835418701172,4.750835418701172,4.750835418701172
1561853952,,,,,,,662,662,662,4.676626205444336,4.676626205444336,4.676626205444336
1585446912,,,,,,,672,672,672,4.639255523681641,4.639255523681641,4.639255523681641
1601961984,,,,,,,679,679,679,4.653232574462891,4.653232574462891,4.653232574462891
1625554944,,,,,,,689,689,689,4.615405559539795,4.615405559539795,4.615405559539795
1637351424,,,,,,,694,694,694,4.568107604980469,4.568107604980469,4.568107604980469
1653866496,,,,,,,701,701,701,4.559457302093506,4.559457302093506,4.559457302093506
1668022272,,,,,,,707,707,707,4.53247594833374,4.53247594833374,4.53247594833374
1750597632,,,,,,,742,742,742,4.423441410064697,4.423441410064697,4.423441410064697
1774190592,,,,,,,752,752,752,4.350430011749268,4.350430011749268,4.350430011749268
1785987072,,,,,,,757,757,757,4.3345627784729,4.3345627784729,4.3345627784729
1863843840,,,,,,,790,790,790,4.248912334442139,4.248912334442139,4.248912334442139
1941700608,,,,,,,823,823,823,4.166933059692383,4.166933059692383,4.166933059692383
1944059904,,,,,,,824,824,824,4.134997844696045,4.134997844696045,4.134997844696045
2017198080,,,,,,,855,855,855,4.040863990783691,4.040863990783691,4.040863990783691
2154037248,,,,,,,913,913,913,3.9522061347961426,3.9522061347961426,3.9522061347961426
2168193024,,,,,,,919,919,919,3.942342758178711,3.942342758178711,3.942342758178711
2177630208,,,,,,,923,923,923,3.9248578548431396,3.9248578548431396,3.9248578548431396
2205941760,,,,,,,935,935,935,3.9357025623321533,3.9357025623321533,3.9357025623321533
2269642752,,,,,,,962,962,962,3.865640640258789,3.865640640258789,3.865640640258789
2290876416,,,,,,,971,971,971,3.861881971359253,3.861881971359253,3.861881971359253
2361655296,,,,,,,1001,1001,1001,3.8125803470611572,3.8125803470611572,3.8125803470611572
2498494464,,,,,,,1059,1059,1059,3.7281553745269775,3.7281553745269775,3.7281553745269775
2531524608,,,,,,,1073,1073,1073,3.6821513175964355,3.6821513175964355,3.6821513175964355
2597584896,,,,,,,1101,1101,1101,3.6608216762542725,3.6608216762542725,3.6608216762542725
2602303488,,,,,,,1103,1103,1103,3.6532111167907715,3.6532111167907715,3.6532111167907715
2668363776,,,,,,,1131,1131,1131,3.6315581798553467,3.6315581798553467,3.6315581798553467
2670723072,,,,,,,1132,1132,1132,3.6555662155151367,3.6555662155151367,3.6555662155151367
2746220544,,,,,,,1164,1164,1164,3.6303467750549316,3.6303467750549316,3.6303467750549316
2783969280,,,,,,,1180,1180,1180,3.613952398300171,3.613952398300171,3.613952398300171
2798125056,,,,,,,1186,1186,1186,3.609194755554199,3.609194755554199,3.609194755554199
2821718016,,,,,,,1196,1196,1196,3.589888334274292,3.589888334274292,3.589888334274292
2883059712,,,,,,,1222,1222,1222,3.5965778827667236,3.5965778827667236,3.5965778827667236
2906652672,,,,,,,1232,1232,1232,3.5373401641845703,3.5373401641845703,3.5373401641845703
2934964224,,,,,,,1244,1244,1244,3.5318737030029297,3.5318737030029297,3.5318737030029297
2949120000,,,,,,,1250,1250,1250,3.5275044441223145,3.5275044441223145,3.5275044441223145
3029336064,,,,,,,1284,1284,1284,3.5448999404907227,3.5448999404907227,3.5448999404907227
3045851136,,,,,,,1291,1291,1291,3.529247283935547,3.529247283935547,3.529247283935547
3069444096,,,,,,,1301,1301,1301,3.5086963176727295,3.5086963176727295,3.5086963176727295
3100114944,,,,,,,1314,1314,1314,3.5002999305725098,3.5002999305725098,3.5002999305725098
3128426496,,,,,,,1326,1326,1326,3.485931873321533,3.485931873321533,3.485931873321533
3206283264,,,,,,,1359,1359,1359,3.4619052410125732,3.4619052410125732,3.4619052410125732
3208642560,,,,,,,1360,1360,1360,3.468108654022217,3.468108654022217,3.468108654022217
3345481728,,,,,,,1418,1418,1418,3.422508716583252,3.422508716583252,3.422508716583252
3350200320,,,,,,,1420,1420,1420,3.411252498626709,3.411252498626709,3.411252498626709
3380871168,,,,,,,1433,1433,1433,3.454456329345703,3.454456329345703,3.454456329345703
3428057088,,,,,,,1453,1453,1453,3.4201698303222656,3.4201698303222656,3.4201698303222656
3430416384,,,,,,,1454,1454,1454,3.4149603843688965,3.4149603843688965,3.4149603843688965
3472883712,,,,,,,1472,1472,1472,3.3881678581237793,3.3881678581237793,3.3881678581237793
3477602304,,,,,,,1474,1474,1474,3.4077961444854736,3.4077961444854736,3.4077961444854736
3588489216,,,,,,,1521,1521,1521,3.338588237762451,3.338588237762451,3.338588237762451
3597926400,,,,,,,1525,1525,1525,3.3544886112213135,3.3544886112213135,3.3544886112213135
3621519360,,,,,,,1535,1535,1535,3.319227933883667,3.319227933883667,3.319227933883667
3680501760,,,,,,,1560,1560,1560,3.3744664192199707,3.3744664192199707,3.3744664192199707
3727687680,,,,,,,1580,1580,1580,3.3607919216156006,3.3607919216156006,3.3607919216156006
3772514304,,,,,,,1599,1599,1599,3.3230972290039062,3.3230972290039062,3.3230972290039062
3779592192,,,,,,,1602,1602,1602,3.3261120319366455,3.3261120319366455,3.3261120319366455
3805544448,,,,,,,1613,1613,1613,3.3222849369049072,3.3222849369049072,3.3222849369049072
3838574592,,,,,,,1627,1627,1627,3.293179512023926,3.293179512023926,3.293179512023926
3864526848,,,,,,,1638,1638,1638,3.3323442935943604,3.3323442935943604,3.3323442935943604
3876323328,,,,,,,1643,1643,1643,3.3059606552124023,3.3059606552124023,3.3059606552124023
3890479104,,,,,,,1649,1649,1649,3.2980480194091797,3.2980480194091797,3.2980480194091797
3899916288,,,,,,,1653,1653,1653,3.275475025177002,3.275475025177002,3.275475025177002
3973054464,,,,,,,1684,1684,1684,3.293956995010376,3.293956995010376,3.293956995010376
4017881088,,,,,,,1703,1703,1703,3.2696609497070312,3.2696609497070312,3.2696609497070312
4074504192,,,,,,,1727,1727,1727,3.2909910678863525,3.2909910678863525,3.2909910678863525
4121690112,,,,,,,1747,1747,1747,3.2534093856811523,3.2534093856811523,3.2534093856811523
4124049408,,,,,,,1748,1748,1748,3.284729480743408,3.284729480743408,3.284729480743408
4164157440,,,,,,,1765,1765,1765,3.2612459659576416,3.2612459659576416,3.2612459659576416
4211343360,,,,,,,1785,1785,1785,3.2729406356811523,3.2729406356811523,3.2729406356811523
4242014208,,,,,,,1798,1798,1798,3.225764274597168,3.225764274597168,3.225764274597168
4263247872,,,,,,,1807,1807,1807,3.2770025730133057,3.2770025730133057,3.2770025730133057
4300996608,,,,,,,1823,1823,1823,3.241564989089966,3.241564989089966,3.241564989089966
4308074496,,,,,,,1826,1826,1826,3.249760866165161,3.249760866165161,3.249760866165161
4315152384,,,,,,,1829,1829,1829,3.2561869621276855,3.2561869621276855,3.2561869621276855
4331667456,,,,,,,1836,1836,1836,3.2003612518310547,3.2003612518310547,3.2003612518310547
4362338304,,,,,,,1849,1849,1849,3.2412266731262207,3.2412266731262207,3.2412266731262207
4381212672,,,,,,,1857,1857,1857,3.2263734340667725,3.2263734340667725,3.2263734340667725
4383571968,,,,,,,1858,1858,1858,3.2197489738464355,3.2197489738464355,3.2197489738464355
4407164928,,,,,,,1868,1868,1868,3.225444793701172,3.225444793701172,3.225444793701172
4428398592,,,,,,,1877,1877,1877,3.2319283485412598,3.2319283485412598,3.2319283485412598
4437835776,,,,,,,1881,1881,1881,3.2259793281555176,3.2259793281555176,3.2259793281555176
4539285504,,,,,,,1924,1924,1924,3.2404215335845947,3.2404215335845947,3.2404215335845947
4605345792,,,,,,,1952,1952,1952,3.2034823894500732,3.2034823894500732,3.2034823894500732
4614782976,,,,,,,1956,1956,1956,3.201984405517578,3.201984405517578,3.201984405517578
4645453824,,,,,,,1969,1969,1969,3.188300609588623,3.188300609588623,3.188300609588623
4661968896,,,,,,,1976,1976,1976,3.210415840148926,3.210415840148926,3.210415840148926
4718592000,,,,,,,2000,2000,2000,3.183164596557617,3.183164596557617,3.183164596557617
4772855808,,,,,,,2023,2023,2023,3.1733415126800537,3.1733415126800537,3.1733415126800537
4784652288,,,,,,,2028,2028,2028,3.1652426719665527,3.1652426719665527,3.1652426719665527
4796448768,,,,,,,2033,2033,2033,3.1783254146575928,3.1783254146575928,3.1783254146575928
4815323136,,,,,,,2041,2041,2041,3.166778087615967,3.166778087615967,3.166778087615967
4820041728,,,,,,,2043,2043,2043,3.1788716316223145,3.1788716316223145,3.1788716316223145
4822401024,,,,,,,2044,2044,2044,3.149000644683838,3.149000644683838,3.149000644683838
4827119616,,,,,,,2046,2046,2046,3.180948495864868,3.180948495864868,3.180948495864868
4838916096,,,,,,,2051,2051,2051,3.184145450592041,3.184145450592041,3.184145450592041
4848353280,,,,,,,2055,2055,2055,3.157119035720825,3.157119035720825,3.157119035720825
4883742720,,,,,,,2070,2070,2070,3.1781907081604004,3.1781907081604004,3.1781907081604004
4959240192,,,,,,,2102,2102,2102,3.2168829441070557,3.2168829441070557,3.2168829441070557
5032378368,,,,,,,2133,2133,2133,3.1453909873962402,3.1453909873962402,3.1453909873962402
5046534144,,,,,,,2139,2139,2139,3.140932559967041,3.140932559967041,3.140932559967041
5084282880,,,,,,,2155,2155,2155,3.1351332664489746,3.1351332664489746,3.1351332664489746
5140905984,,,,,,,2179,2179,2179,3.1275100708007812,3.1275100708007812,3.1275100708007812
5176295424,,,,,,,2194,2194,2194,3.114413022994995,3.114413022994995,3.114413022994995
5195169792,,,,,,,2202,2202,2202,3.165931224822998,3.165931224822998,3.165931224822998
5237637120,,,,,,,2220,2220,2220,3.1629385948181152,3.1629385948181152,3.1629385948181152
5242355712,,,,,,,2222,2222,2222,3.14017653465271,3.14017653465271,3.14017653465271
5256511488,,,,,,,2228,2228,2228,3.110097885131836,3.110097885131836,3.110097885131836
5273026560,,,,,,,2235,2235,2235,3.12126088142395,3.12126088142395,3.12126088142395
5291900928,,,,,,,2243,2243,2243,3.098266363143921,3.098266363143921,3.098266363143921
5294260224,,,,,,,2244,2244,2244,3.131413221359253,3.131413221359253,3.131413221359253
5329649664,,,,,,,2259,2259,2259,3.122692823410034,3.122692823410034,3.122692823410034
5346164736,,,,,,,2266,2266,2266,3.117678165435791,3.117678165435791,3.117678165435791
5362679808,,,,,,,2273,2273,2273,3.1279611587524414,3.1279611587524414,3.1279611587524414
5379194880,,,,,,,2280,2280,2280,3.101869583129883,3.101869583129883,3.101869583129883
5386272768,,,,,,,2283,2283,2283,3.1246492862701416,3.1246492862701416,3.1246492862701416
5393350656,,,,,,,2286,2286,2286,3.100238561630249,3.100238561630249,3.100238561630249
5405147136,,,,,,,2291,2291,2291,3.087291717529297,3.087291717529297,3.087291717529297
5457051648,,,,,,,2313,2313,2313,3.0874791145324707,3.0874791145324707,3.0874791145324707
5466488832,,,,,,,2317,2317,2317,3.0982956886291504,3.0982956886291504,3.0982956886291504
5468848128,,,,,,,2318,2318,2318,3.1153693199157715,3.1153693199157715,3.1153693199157715
5487722496,,,,,,,2326,2326,2326,3.095996141433716,3.095996141433716,3.095996141433716
5490081792,,,,,,,2327,2327,2327,3.05232310295105,3.05232310295105,3.05232310295105
5504237568,,,,,,,2333,2333,2333,3.1167728900909424,3.1167728900909424,3.1167728900909424
5513674752,,,,,,,2337,2337,2337,3.083198308944702,3.083198308944702,3.083198308944702
5537267712,,,,,,,2347,2347,2347,3.0804619789123535,3.0804619789123535,3.0804619789123535
5556142080,,,,,,,2355,2355,2355,3.06722354888916,3.06722354888916,3.06722354888916
5612765184,,,,,,,2379,2379,2379,3.0884647369384766,3.0884647369384766,3.0884647369384766
5626920960,,,,,,,2385,2385,2385,3.0464887619018555,3.0464887619018555,3.0464887619018555
5636358144,,,,,,,2389,2389,2389,3.062363862991333,3.062363862991333,3.062363862991333
5659951104,,,,,,,2399,2399,2399,3.069751024246216,3.069751024246216,3.069751024246216
5664669696,,,,,,,2401,2401,2401,3.0800037384033203,3.0800037384033203,3.0800037384033203
5676466176,,,,,,,2406,2406,2406,3.070004940032959,3.070004940032959,3.070004940032959
5695340544,,,,,,,2414,2414,2414,3.0414888858795166,3.0414888858795166,3.0414888858795166
5737807872,,,,,,,2432,2432,2432,3.058187484741211,3.058187484741211,3.058187484741211
5763760128,,,,,,,2443,2443,2443,3.050853729248047,3.050853729248047,3.050853729248047
5782634496,,,,,,,2451,2451,2451,3.0665440559387207,3.0665440559387207,3.0665440559387207
5784993792,,,,,,,2452,2452,2452,3.070338249206543,3.070338249206543,3.070338249206543
5919473664,,,,,,,2509,2509,2509,3.0640997886657715,3.0640997886657715,3.0640997886657715
5980815360,,,,,,,2535,2535,2535,3.0255680084228516,3.0255680084228516,3.0255680084228516
6020923392,,,,,,,2552,2552,2552,3.033257246017456,3.033257246017456,3.033257246017456
6042157056,,,,,,,2561,2561,2561,3.0229082107543945,3.0229082107543945,3.0229082107543945
6068109312,,,,,,,2572,2572,2572,3.0546746253967285,3.0546746253967285,3.0546746253967285
6108217344,,,,,,,2589,2589,2589,3.046727180480957,3.046727180480957,3.046727180480957
6117654528,,,,,,,2593,2593,2593,3.044560670852661,3.044560670852661,3.044560670852661
6122373120,,,,,,,2595,2595,2595,3.0554425716400146,3.0554425716400146,3.0554425716400146
6129451008,,,,,,,2598,2598,2598,3.0256404876708984,3.0256404876708984,3.0256404876708984
6134169600,,,,,,,2600,2600,2600,3.0190248489379883,3.0190248489379883,3.0190248489379883
6155403264,,,,,,,2609,2609,2609,3.036433696746826,3.036433696746826,3.036433696746826
6186074112,,,,,,,2622,2622,2622,3.0207738876342773,3.0207738876342773,3.0207738876342773
6193152000,,,,,,,2625,2625,2625,2.988837242126465,2.988837242126465,2.988837242126465
6216744960,,,,,,,2635,2635,2635,2.9871435165405273,2.9871435165405273,2.9871435165405273
6242697216,,,,,,,2646,2646,2646,2.9964497089385986,2.9964497089385986,2.9964497089385986
6301679616,,,,,,,2671,2671,2671,3.0423362255096436,3.0423362255096436,3.0423362255096436
6344146944,,,,,,,2689,2689,2689,2.9853029251098633,2.9853029251098633,2.9853029251098633
6367739904,,,,,,,2699,2699,2699,3.0082733631134033,3.0082733631134033,3.0082733631134033
6372458496,,,,,,,2701,2701,2701,3.0069994926452637,3.0069994926452637,3.0069994926452637
6438518784,,,,,,,2729,2729,2729,3.0094187259674072,3.0094187259674072,3.0094187259674072
6450315264,,,,,,,2734,2734,2734,2.975508213043213,2.975508213043213,2.975508213043213
6495141888,,,,,,,2753,2753,2753,3.0138015747070312,3.0138015747070312,3.0138015747070312
6554124288,,,,,,,2778,2778,2778,2.9977777004241943,2.9977777004241943,2.9977777004241943
6603669504,,,,,,,2799,2799,2799,3.0204098224639893,3.0204098224639893,3.0204098224639893
6613106688,,,,,,,2803,2803,2803,2.9971184730529785,2.9971184730529785,2.9971184730529785
6639058944,,,,,,,2814,2814,2814,3.0036535263061523,3.0036535263061523,3.0036535263061523
6657933312,,,,,,,2822,2822,2822,2.986302614212036,2.986302614212036,2.986302614212036
6700400640,,,,,,,2840,2840,2840,2.991748571395874,2.991748571395874,2.991748571395874
6714556416,,,,,,,2846,2846,2846,2.988079786300659,2.988079786300659,2.988079786300659
6735790080,,,,,,,2855,2855,2855,3.0031321048736572,3.0031321048736572,3.0031321048736572
6811287552,,,,,,,2887,2887,2887,2.9596312046051025,2.9596312046051025,2.9596312046051025
6827802624,,,,,,,2894,2894,2894,2.960254669189453,2.960254669189453,2.960254669189453
6830161920,,,,,,,2895,2895,2895,2.973391532897949,2.973391532897949,2.973391532897949
6832521216,,,,,,,2896,2896,2896,2.940504550933838,2.940504550933838,2.940504550933838
6877347840,,,,,,,2915,2915,2915,2.955871105194092,2.955871105194092,2.955871105194092
6879707136,,,,,,,2916,2916,2916,2.991415500640869,2.991415500640869,2.991415500640869
6884425728,,,,,,,2918,2918,2918,2.9395549297332764,2.9395549297332764,2.9395549297332764
6974078976,,,,,,,2956,2956,2956,2.9410738945007324,2.9410738945007324,2.9410738945007324
6995312640,,,,,,,2965,2965,2965,2.982386350631714,2.982386350631714,2.982386350631714
7139229696,,,,,,,3026,3026,3026,2.954789876937866,2.954789876937866,2.954789876937866
7153385472,,,,,,,3032,3032,3032,2.925881862640381,2.925881862640381,2.925881862640381
7200571392,,,,,,,3052,3052,3052,2.943608045578003,2.943608045578003,2.943608045578003
7210008576,,,,,,,3056,3056,3056,2.950725793838501,2.950725793838501,2.950725793838501
7217086464,,,,,,,3059,3059,3059,2.9478602409362793,2.9478602409362793,2.9478602409362793
7224164352,,,,,,,3062,3062,3062,2.953162670135498,2.953162670135498,2.953162670135498
7235960832,,,,,,,3067,3067,3067,2.956768035888672,2.956768035888672,2.956768035888672
7318536192,,,,,,,3102,3102,3102,2.9135777950286865,2.9135777950286865,2.9135777950286865
7363362816,,,,,,,3121,3121,3121,2.952880382537842,2.952880382537842,2.952880382537842
7368081408,,,,,,,3123,3123,3123,2.9397165775299072,2.9397165775299072,2.9397165775299072
7370440704,,,,,,,3124,3124,3124,2.9119865894317627,2.9119865894317627,2.9119865894317627
7396392960,,,,,,,3135,3135,3135,2.924757480621338,2.924757480621338,2.924757480621338
7398752256,,,,,,,3136,3136,3136,2.9507808685302734,2.9507808685302734,2.9507808685302734
7417626624,,,,,,,3144,3144,3144,2.938033103942871,2.938033103942871,2.938033103942871
7427063808,,,,,,,3148,3148,3148,2.929727554321289,2.929727554321289,2.929727554321289
7467171840,,,,,,,3165,3165,3165,2.947270154953003,2.947270154953003,2.947270154953003
7490764800,,,,,,,3175,3175,3175,2.894360065460205,2.894360065460205,2.894360065460205
7511998464,,,,,,,3184,3184,3184,2.9447572231292725,2.9447572231292725,2.9447572231292725
7554465792,,,,,,,3202,3202,3202,2.922041654586792,2.922041654586792,2.922041654586792
7622885376,,,,,,,3231,3231,3231,2.9390738010406494,2.9390738010406494,2.9390738010406494
7625244672,,,,,,,3232,3232,3232,2.9187533855438232,2.9187533855438232,2.9187533855438232
7750287360,,,,,,,3285,3285,3285,2.9143295288085938,2.9143295288085938,2.9143295288085938
7790395392,,,,,,,3302,3302,3302,2.909632444381714,2.909632444381714,2.909632444381714
7818706944,,,,,,,3314,3314,3314,2.901942491531372,2.901942491531372,2.901942491531372
8007450624,,,,,,,3394,3394,3394,2.889775037765503,2.889775037765503,2.889775037765503
8026324992,,,,,,,3402,3402,3402,2.8982691764831543,2.8982691764831543,2.8982691764831543
8059355136,,,,,,,3416,3416,3416,2.910022258758545,2.910022258758545,2.910022258758545
8061714432,,,,,,,3417,3417,3417,2.8762807846069336,2.8762807846069336,2.8762807846069336
8108900352,,,,,,,3437,3437,3437,2.920393705368042,2.920393705368042,2.920393705368042
8241020928,,,,,,,3493,3493,3493,2.912827253341675,2.912827253341675,2.912827253341675
8259895296,,,,,,,3501,3501,3501,2.896148443222046,2.896148443222046,2.896148443222046
8274051072,,,,,,,3507,3507,3507,2.902653694152832,2.902653694152832,2.902653694152832
8300003328,,,,,,,3518,3518,3518,2.892364263534546,2.892364263534546,2.892364263534546
8337752064,,,,,,,3534,3534,3534,2.890073537826538,2.890073537826538,2.890073537826538
8361345024,,,,,,,3544,3544,3544,2.9010143280029297,2.9010143280029297,2.9010143280029297
8486387712,,,,,,,3597,3597,3597,2.870760679244995,2.870760679244995,2.870760679244995
8552448000,,,,,,,3625,3625,3625,2.8917691707611084,2.8917691707611084,2.8917691707611084
8566603776,,,,,,,3631,3631,3631,2.8515758514404297,2.8515758514404297,2.8515758514404297
8583118848,,,,,,,3638,3638,3638,2.881404161453247,2.881404161453247,2.881404161453247
8644460544,,,,,,,3664,3664,3664,2.8614776134490967,2.8614776134490967,2.8614776134490967
8913420288,,,,,,,3778,3778,3778,2.8616929054260254,2.8616929054260254,2.8616929054260254
8962965504,,,,,,,3799,3799,3799,2.8547868728637695,2.8547868728637695,2.8547868728637695
8972402688,,,,,,,3803,3803,3803,2.8387486934661865,2.8387486934661865,2.8387486934661865
8981839872,,,,,,,3807,3807,3807,2.8641200065612793,2.8641200065612793,2.8641200065612793
8991277056,,,,,,,3811,3811,3811,2.867494583129883,2.867494583129883,2.867494583129883
9026666496,,,,,,,3826,3826,3826,2.865499258041382,2.865499258041382,2.865499258041382
9071493120,,,,,,,3845,3845,3845,2.8436477184295654,2.8436477184295654,2.8436477184295654
9083289600,,,,,,,3850,3850,3850,2.8269550800323486,2.8269550800323486,2.8269550800323486
9088008192,,,,,,,3852,3852,3852,2.831847906112671,2.831847906112671,2.831847906112671
9175302144,,,,,,,3889,3889,3889,2.8551478385925293,2.8551478385925293,2.8551478385925293
9224847360,,,,,,,3910,3910,3910,2.8081469535827637,2.8081469535827637,2.8081469535827637
9253158912,,,,,,,3922,3922,3922,2.844120979309082,2.844120979309082,2.844120979309082
