run_name,step,throughput
3B-nanotron-old-nn1-fwedu-,109,15488.280490868636
3B-nanotron-old-nn1-fwedu-,110,15390.608358292746
3B-nanotron-old-nn1-fwedu-32k,111,15416.425393684183
3B-nanotron-old-nn1-fwedu-,111,15407.162188371778
3B-nanotron-old-nn1-fwedu-32k,112,15506.901903205386
3B-nanotron-old-nn1-fwedu-,112,15274.524942653414
3B-nanotron-old-nn1-fwedu-32k,113,15550.395114592258
3B-nanotron-old-nn1-fwedu-,113,15367.479836961546
3B-nanotron-old-nn1-fwedu-,114,15402.300008248094
3B-nanotron-old-nn1-fwedu-32k,118,15534.412437269611
3B-nanotron-old-nn1-fwedu-,118,15424.776423435784
3B-nanotron-old-nn1-fwedu-32k,119,15506.565986145675
3B-nanotron-old-nn1-fwedu-,119,15347.07082873027
3B-nanotron-old-nn1-fwedu-,121,15455.1469125755
3B-nanotron-old-nn1-fwedu-,124,15352.611587884392
3B-nanotron-old-nn1-fwedu-32k,125,15536.557174001118
3B-nanotron-old-nn1-fwedu-,125,15349.027009609148
3B-nanotron-old-nn1-fwedu-,126,15398.0849201588
3B-nanotron-old-nn1-fwedu-32k,130,15495.982725185042
3B-nanotron-old-nn1-fwedu-,130,15360.05126970238
3B-nanotron-old-nn1-fwedu-,131,15345.58117499098
3B-nanotron-old-nn1-fwedu-,133,15318.58001329166
3B-nanotron-old-nn1-fwedu-32k,134,15522.697088252356
3B-nanotron-old-nn1-fwedu-,134,15335.024806391606
3B-nanotron-old-nn1-fwedu-32k,135,15599.202041168406
3B-nanotron-old-nn1-fwedu-,135,15379.55856451586
3B-nanotron-old-nn1-fwedu-32k,136,15486.074611357864
3B-nanotron-old-nn1-fwedu-,136,15285.13414542282
3B-nanotron-old-nn1-fwedu-,138,15394.239975149194
3B-nanotron-old-nn1-fwedu-,140,15353.626912962089
3B-nanotron-old-nn1-fwedu-32k,142,15538.608808172996
3B-nanotron-old-nn1-fwedu-,142,15390.589974719109
3B-nanotron-old-nn1-fwedu-,143,15329.578802784688
3B-nanotron-old-nn1-fwedu-32k,148,15551.089535612084
3B-nanotron-old-nn1-fwedu-,148,15296.429960574442
