run_name,step,throughput
Weka drops,1,48.933076914968815
Weka drops,2,10259.055576876222
Weka drops,3,13872.603512912332
Weka drops,4,13692.92844181577
Weka drops,5,13725.302137903853
Weka drops,6,13712.404353521992
Weka drops,7,13776.356115904035
Weka drops,8,13644.33174880684
Weka drops,9,13581.568441190886
Weka drops,10,13891.48590221764
Weka drops,11,13771.21744260613
Weka drops,12,13886.275963411514
Weka drops,13,13850.429154811032
Weka drops,14,13893.133535217501
Weka drops,15,13903.85268386326
Weka drops,16,13702.269678884839
Weka drops,17,13689.516935394762
Weka drops,18,13760.870757366289
Weka drops,19,13832.266934189147
Weka drops,20,13219.263324908576
Weka drops,21,13899.495566906327
Weka drops,22,13346.24141499203
Weka drops,23,13712.966209014441
Weka drops,24,13855.701622156388
Weka drops,25,13790.444533039792
Weka drops,26,13831.88828773123
Weka drops,27,13867.930114140878
Weka drops,28,13862.01449686206
Weka drops,29,13793.205136014241
Weka drops,30,13906.126068060132
Weka drops,31,13819.3897521232
Weka drops,32,13748.500178193017
Weka drops,33,14000.6181485685
Weka drops,34,13876.465548463804
Weka drops,35,13737.147660269276
Weka drops,36,13855.723971660338
Weka drops,37,13919.706812119797
Weka drops,38,13860.993016200866
Weka drops,39,13773.88200658714
Weka drops,40,13488.26573499046
Weka drops,41,13895.897942830643
Weka drops,42,14091.207924820073
Weka drops,43,13897.711512160187
Weka drops,44,13748.800919368032
Weka drops,45,13859.718240592987
Weka drops,46,13684.123097510077
Weka drops,47,13913.048333768851
Weka drops,48,13762.245007209613
Weka drops,49,13946.60082219004
Weka drops,50,13777.667164954737
Weka drops,51,13951.259426645971
Weka drops,52,13970.326397449868
Weka drops,53,13740.21663320007
Weka drops,54,13917.135854314505
Weka drops,55,13910.569941496351
Weka drops,56,13428.200152051946
Weka drops,57,13886.126310287504
Weka drops,58,13977.153539956686
Weka drops,59,13903.762664147389
Weka drops,60,13982.477427378193
Weka drops,61,13896.295089021629
Weka drops,62,13922.384023010738
Weka drops,63,13907.559507484073
Weka drops,64,13540.150385610867
Weka drops,65,13477.909697840432
Weka drops,66,13907.837223635623
Weka drops,67,13851.240615135217
Weka drops,68,13854.882190131078
Weka drops,69,13962.726645983397
Weka drops,70,13942.963687419855
Weka drops,71,14048.986892964114
Weka drops,72,13939.886433146998
Weka drops,73,13933.93941799271
Weka drops,74,13920.548969698671
Weka drops,75,13820.872076316251
Weka drops,76,13639.846957317064
Weka drops,77,13950.489069868285
Weka drops,78,13888.9927282997
Weka drops,79,13875.613773630319
Weka drops,80,13859.375358520623
Weka drops,81,13784.757043010695
Weka drops,82,14051.39226856739
Weka drops,83,13683.490944773393
Weka drops,84,13897.966349083763
Weka drops,85,14007.688130065391
Weka drops,86,13996.755126615382
Weka drops,87,13654.192762427954
Weka drops,88,13848.27068658282
Weka drops,89,13982.909886866166
Weka drops,90,13924.844054067928
Weka drops,91,13979.185542688916
Weka drops,92,13841.739837765193
Weka drops,93,13945.4159039561
Weka drops,94,13987.645930199107
Weka drops,95,14020.918791221107
Weka drops,96,14013.355354643367
Weka drops,97,13916.384291700868
Weka drops,98,13986.68176393102
Weka drops,99,13910.547414707507
Weka drops,100,13978.89738695152
Weka drops,101,13845.592144541131
Weka drops,102,13886.971892813532
Weka drops,103,14017.921413095568
Weka drops,104,13764.57524504816
Weka drops,105,13901.97751390613
Weka drops,106,14009.005503074992
Weka drops,107,13896.467442545194
Weka drops,108,13880.613841291182
Weka drops,109,13811.220443120064
Weka drops,110,13869.803574744386
Weka drops,111,14016.000104427338
Weka drops,112,13840.349666717331
Weka drops,113,13812.36045550585
Weka drops,114,13871.699942671816
Weka drops,115,13884.816983033132
Weka drops,116,13719.660938118906
Weka drops,117,13940.097573852787
Weka drops,118,13735.741810861073
Weka drops,119,13955.890912517505
Weka drops,120,13901.610039876401
Weka drops,121,13960.321277273486
Weka drops,122,13905.203119494467
Weka drops,123,14036.704751436228
Weka drops,124,13974.432491643476
Weka drops,125,13792.311878819406
Weka drops,126,13907.349351282244
Weka drops,127,13884.038985514586
Weka drops,128,13922.481805819609
Weka drops,129,13953.593673889525
Weka drops,130,13911.125625384624
Weka drops,131,13986.066892659781
Weka drops,132,13448.143769422852
Weka drops,133,13938.099534040972
Weka drops,134,13939.524492531453
Weka drops,135,13965.344749922506
Weka drops,136,13997.07442948044
Weka drops,137,13852.2457666204
Weka drops,138,13953.835452866866
Weka drops,139,13937.95630036119
Weka drops,140,13920.767044966526
Weka drops,141,13674.501808688177
Weka drops,142,13845.227645320927
Weka drops,143,13902.30000712114
Weka drops,144,13851.37462690498
Weka drops,145,13896.684763951393
Weka drops,146,13922.421631620831
Weka drops,147,13996.184979160353
Weka drops,148,13935.20527735704
Weka drops,149,13967.441454185957
Weka drops,150,13877.945195431714
Weka drops,151,13731.511354826127
Weka drops,152,13899.65300549248
Weka drops,153,13889.157414883126
Weka drops,154,13939.109792015215
Weka drops,155,14011.404824483661
Weka drops,156,13956.488016121844
Weka drops,157,13967.199203478764
Weka drops,158,13967.744279387365
Weka drops,159,13967.184063088576
Weka drops,160,13943.929380521206
Weka drops,161,13980.891971423858
Weka drops,162,13928.396458041805
Weka drops,163,14034.564272204
Weka drops,164,13946.510248084167
Weka drops,165,13969.546360870227
Weka drops,166,13807.808933189948
Weka drops,167,13913.258662243761
Weka drops,168,13893.905061366562
Weka drops,169,13921.609330844674
Weka drops,170,13860.307142872509
Weka drops,171,13838.86316176127
Weka drops,172,13857.534520956926
Weka drops,173,13991.336802328107
Weka drops,174,13917.68454628381
Weka drops,175,13756.18420508988
Weka drops,176,13928.434099141805
Weka drops,177,13832.979736704378
Weka drops,178,13748.786248761558
Weka drops,179,13978.252871069299
Weka drops,180,13936.486440620218
Weka drops,181,14000.298684005365
Weka drops,182,13932.794314814344
Weka drops,183,13912.169530011268
Weka drops,184,13958.166226397007
Weka drops,185,13530.410722761508
Weka drops,186,13871.909022838494
Weka drops,187,13625.22868880629
Weka drops,188,13921.797355000432
Weka drops,189,13978.821558468751
Weka drops,190,13917.451534819817
Weka drops,191,13965.042028756174
Weka drops,192,13948.057717361595
Weka drops,193,13460.021694983245
Weka drops,194,13917.466567582049
Weka drops,195,13976.903371512934
Weka drops,196,13820.442169563154
Weka drops,197,13963.596716118513
Weka drops,198,13836.797450186881
Weka drops,199,13908.790549938443
Weka drops,200,13973.386799522397
Weka drops,201,14193.562548537726
Weka drops,202,13909.16591111128
Weka drops,203,13784.742295570233
Weka drops,204,13977.760046083024
Weka drops,205,13823.667122273599
Weka drops,206,14006.568938444003
Weka drops,207,13842.40156806544
Weka drops,208,13932.31222241265
Weka drops,209,13888.423841059603
Weka drops,210,13937.006509394167
Weka drops,211,14023.871660734003
Weka drops,212,13950.549486933101
Weka drops,213,13931.702122046316
Weka drops,214,13923.580076323628
Weka drops,215,13994.474815455622
Weka drops,216,13866.728678733378
Weka drops,217,13951.319850383543
Weka drops,218,13838.56589908671
Weka drops,219,13841.093038956771
Weka drops,220,14012.440976017175
Weka drops,221,13896.41498667239
Weka drops,222,14004.41480772993
Weka drops,223,13953.888343135062
Weka drops,224,14030.23180057646
Weka drops,225,13950.36823730856
Weka drops,226,14051.522519413005
Weka drops,227,13893.927534286237
Weka drops,228,13937.541693145673
Weka drops,229,13726.822840073039
Weka drops,230,13980.854046259237
Weka drops,231,13954.099908217388
Weka drops,232,13926.717871838633
Weka drops,233,13971.87915669281
Weka drops,234,13827.984241236576
Weka drops,235,13998.237727411984
Weka drops,236,13920.376018309997
Weka drops,237,13941.794472471915
Weka drops,238,13993.540102630936
Weka drops,239,13816.863122473993
Weka drops,240,13947.046161989383
Weka drops,241,14007.08663750721
Weka drops,242,13876.585104177493
Weka drops,243,13848.404640889916
Weka drops,244,14019.149191648723
Weka drops,245,14054.771910094589
Weka drops,246,13832.578776250295
Weka drops,247,13819.404573791195
Weka drops,248,13955.958934399996
Weka drops,249,13979.253791840436
Weka drops,250,13937.94876182801
Weka drops,251,13987.532045370537
Weka drops,252,13846.135209587594
Weka drops,253,13905.570783509605
Weka drops,254,13980.702347658284
Weka drops,255,13799.239497076274
Weka drops,256,13964.981486097773
Weka drops,257,13914.212731952555
Weka drops,258,13992.301610511518
Weka drops,259,13768.811388288246
Weka drops,260,13984.677938066452
Weka drops,261,13921.677018955665
Weka drops,262,14012.120971688448
Weka drops,263,13753.049376865243
Weka drops,264,13981.498802041737
Weka drops,265,14014.506117321398
Weka drops,266,13813.567297028263
Weka drops,267,13833.544090798556
Weka drops,268,13791.942798057018
Weka drops,269,13910.960417429158
Weka drops,270,13851.054491979012
Weka drops,271,13808.970581363696
Weka drops,272,13638.987889418035
Weka drops,273,13948.714552024716
Weka drops,274,13741.835904059177
Weka drops,275,13884.009064274238
Weka drops,276,13898.43107576941
Weka drops,277,13897.321779647305
Weka drops,278,13924.761286599381
Weka drops,279,13846.261682905833
Weka drops,280,13853.750043545297
Weka drops,281,13849.111664888713
Weka drops,282,14008.122150450661
Weka drops,283,13782.626364969079
Weka drops,284,13898.191212954052
Weka drops,285,13884.1511913145
Weka drops,286,13962.204655945794
Weka drops,287,13838.075443592365
Weka drops,288,13826.263004673172
Weka drops,289,13915.45998100312
Weka drops,290,13591.460771960767
Weka drops,291,773.5458331046998
Weka drops,292,13900.957633852353
Weka drops,293,13955.188058557002
Weka drops,294,600.0527961066546
Weka drops,295,799.1262997878935
Weka drops,296,13888.618455134085
Weka drops,297,13920.300823394495
Weka drops,298,13844.870603467958
Weka drops,299,13725.565312244342
Weka drops,300,13899.2181837893
Weka drops,301,13766.170847120085
Weka drops,302,13903.035047568488
Weka drops,303,13855.560076972337
Weka drops,304,13819.589847323741
Weka drops,305,13892.714100646122
Weka drops,306,13858.957959765154
Weka drops,307,13840.840283435928
Weka drops,308,13756.859811886723
Weka drops,309,13834.212464414346
Weka drops,310,13891.358601387745
Weka drops,311,13884.510262062024
Weka drops,312,13761.010374503116
Weka drops,313,13749.805930442633
Weka drops,314,13929.759195494875
Weka drops,315,13735.156125196076
Weka drops,316,13908.602876949217
Weka drops,317,13718.514266671422
Weka drops,318,13750.723039546569
Weka drops,319,12991.261344628474
Weka drops,320,13823.719030368962
Weka drops,321,13696.05047753182
Weka drops,322,13700.426633576986
Weka drops,323,13745.955407717103
Weka drops,324,13688.38983896233
Weka drops,325,13713.396752821725
Weka drops,326,13745.68411889334
Weka drops,327,793.9360133843165
Weka drops,328,13647.482253901238
Weka drops,329,13759.371888700409
Weka drops,330,13776.864301932144
Weka drops,331,13754.972685202483
Weka drops,332,13795.634494809332
Weka drops,333,13856.774479681415
Weka drops,334,13823.615214568066
Weka drops,335,13537.07056823035
Weka drops,336,13693.28496596579
Weka drops,337,13848.709768708126
Weka drops,338,13806.31461599991
Weka drops,339,13512.914593744264
Weka drops,340,13769.451449089509
Weka drops,341,13724.541913163519
Weka drops,342,13844.80366017061
Weka drops,343,13809.23697409824
Weka drops,344,13630.186876203958
Weka drops,345,13753.66595149194
Weka drops,346,13729.601916298338
Weka drops,347,13735.273258333304
Weka drops,348,13831.947681883177
Weka drops,349,13799.409451462605
Weka drops,350,13788.30471903908
Weka drops,351,13737.872663824179
Weka drops,352,13844.982177068838
Weka drops,353,13919.609068286547
Weka drops,354,13538.756114552305
Weka drops,355,13780.1573719858
Weka drops,356,13809.695785679607
Weka drops,357,13715.95868255537
