"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length__MAX"
"11","4310","4310","4310","573.0322265625","573.0322265625","573.0322265625","4310","4310","4310","569.9208984375","569.9208984375","569.9208984375","4310","4310","4310","540.6494140625","540.6494140625","540.6494140625","4310","4310","4310","553.666015625","553.666015625","553.666015625","4310","4310","4310","617.5966796875","617.5966796875","617.5966796875","4310","4310","4310","480.240234375","480.240234375","480.240234375"
"12","4702","4702","4702","571.247314453125","571.247314453125","571.247314453125","4702","4702","4702","544.986328125","544.986328125","544.986328125","4702","4702","4702","542.6884765625","542.6884765625","542.6884765625","4702","4702","4702","554.48046875","554.48046875","554.48046875","4702","4702","4702","590.107421875","590.107421875","590.107421875","4702","4702","4702","478.6533203125","478.6533203125","478.6533203125"
"13","5094","5094","5094","608.22265625","608.22265625","608.22265625","5094","5094","5094","567.5048828125","567.5048828125","567.5048828125","5094","5094","5094","555.0361328125","555.0361328125","555.0361328125","5094","5094","5094","599.53125","599.53125","599.53125","5094","5094","5094","607.8740234375","607.8740234375","607.8740234375","5094","5094","5094","490.4833984375","490.4833984375","490.4833984375"
"14","5486","5486","5486","582.4765625","582.4765625","582.4765625","5486","5486","5486","563.3076171875","563.3076171875","563.3076171875","5486","5486","5486","552.1826171875","552.1826171875","552.1826171875","5486","5486","5486","572.5556640625","572.5556640625","572.5556640625","5486","5486","5486","597.38671875","597.38671875","597.38671875","5486","5486","5486","481.0615234375","481.0615234375","481.0615234375"
"15","5878","5878","5878","603.345703125","603.345703125","603.345703125","5878","5878","5878","553.00390625","553.00390625","553.00390625","5878","5878","5878","542.4072265625","542.4072265625","542.4072265625","5878","5878","5878","560.892578125","560.892578125","560.892578125","5878","5878","5878","597.4375","597.4375","597.4375","5878","5878","5878","492.4130859375","492.4130859375","492.4130859375"
"16","6270","6270","6270","669.44140625","669.44140625","669.44140625","6270","6270","6270","606.826171875","606.826171875","606.826171875","6270","6270","6270","598.580078125","598.580078125","598.580078125","6270","6270","6270","609.0986328125","609.0986328125","609.0986328125","6270","6270","6270","703.71484375","703.71484375","703.71484375","6270","6270","6270","525.5986328125","525.5986328125","525.5986328125"
"17","6662","6662","6662","616.2490234375","616.2490234375","616.2490234375","6662","6662","6662","590.8603515625","590.8603515625","590.8603515625","6662","6662","6662","593.9111328125","593.9111328125","593.9111328125","6662","6662","6662","598.046875","598.046875","598.046875","6662","6662","6662","632.375","632.375","632.375","6662","6662","6662","511.095703125","511.095703125","511.095703125"
"18","7054","7054","7054","632.7802734375","632.7802734375","632.7802734375","7054","7054","7054","558.1982421875","558.1982421875","558.1982421875","7054","7054","7054","528.0146484375","528.0146484375","528.0146484375","7054","7054","7054","547.06640625","547.06640625","547.06640625","7054","7054","7054","687.9404296875","687.9404296875","687.9404296875","7054","7054","7054","459.3447265625","459.3447265625","459.3447265625"
"19","7446","7446","7446","694.9119262695312","694.9119262695312","694.9119262695312","7446","7446","7446","608.251953125","608.251953125","608.251953125","7446","7446","7446","584.69921875","584.69921875","584.69921875","7446","7446","7446","611.9951171875","611.9951171875","611.9951171875","7446","7446","7446","756.279296875","756.279296875","756.279296875","7446","7446","7446","486.69921875","486.69921875","486.69921875"
"20","7838","7838","7838","753.8466796875","753.8466796875","753.8466796875","7838","7838","7838","636.46875","636.46875","636.46875","7838","7838","7838","610.419921875","610.419921875","610.419921875","7838","7838","7838","656.3984375","656.3984375","656.3984375","7838","7838","7838","801.767578125","801.767578125","801.767578125","7838","7838","7838","524.9931640625","524.9931640625","524.9931640625"
