"train/global_step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.05 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.03 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.01 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.02 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.04 - train/completions/mean_terminated_length__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - _step__MAX","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length__MIN","grpo-SmollM3-3B-GRPO-no-think-v27.00 - train/completions/mean_terminated_length__MAX"
"195","76438","76438","76438","926.4384765625","926.4384765625","926.4384765625","76438","76438","76438","912.080078125","912.080078125","912.080078125","76438","76438","76438","639.0322265625","639.0322265625","639.0322265625","76438","76438","76438","774.931640625","774.931640625","774.931640625","76438","76438","76438","833.0733032226562","833.0733032226562","833.0733032226562","76438","76438","76438","561.2978515625","561.2978515625","561.2978515625"
"196","76830","76830","76830","1008.3193359375","1008.3193359375","1008.3193359375","76830","76830","76830","949.9208984375","949.9208984375","949.9208984375","76830","76830","76830","658.5029296875","658.5029296875","658.5029296875","76830","76830","76830","792.783203125","792.783203125","792.783203125","76830","76830","76830","885.5087890625","885.5087890625","885.5087890625","76830","76830","76830","558.7587890625","558.7587890625","558.7587890625"
"197","77222","77222","77222","1098.0087890625","1098.0087890625","1098.0087890625","77222","77222","77222","920.91796875","920.91796875","920.91796875","77222","77222","77222","660.7705078125","660.7705078125","660.7705078125","77222","77222","77222","764.4990234375","764.4990234375","764.4990234375","77222","77222","77222","957.4951171875","957.4951171875","957.4951171875","77222","77222","77222","573.6962890625","573.6962890625","573.6962890625"
"198","77614","77614","77614","1000.4375","1000.4375","1000.4375","77614","77614","77614","952.330078125","952.330078125","952.330078125","77614","77614","77614","667.201171875","667.201171875","667.201171875","77614","77614","77614","796.0126953125","796.0126953125","796.0126953125","77614","77614","77614","944.73828125","944.73828125","944.73828125","77614","77614","77614","569.015625","569.015625","569.015625"
"199","78006","78006","78006","1094.71484375","1094.71484375","1094.71484375","78006","78006","78006","992.7529296875","992.7529296875","992.7529296875","78006","78006","78006","695.9814453125","695.9814453125","695.9814453125","78006","78006","78006","826.1896362304688","826.1896362304688","826.1896362304688","78006","78006","78006","967.8076171875","967.8076171875","967.8076171875","78006","78006","78006","605.5205078125","605.5205078125","605.5205078125"
"200","78398","78398","78398","1001.171875","1001.171875","1001.171875","78398","78398","78398","953.2939453125","953.2939453125","953.2939453125","78398","78398","78398","676.7998046875","676.7998046875","676.7998046875","78398","78398","78398","790.37890625","790.37890625","790.37890625","78398","78398","78398","909.6640625","909.6640625","909.6640625","78398","78398","78398","560.259765625","560.259765625","560.259765625"
"201","78790","78790","78790","1001.0986328125","1001.0986328125","1001.0986328125","78790","78790","78790","927.201171875","927.201171875","927.201171875","78790","78790","78790","678.45703125","678.45703125","678.45703125","78790","78790","78790","804.71484375","804.71484375","804.71484375","78790","78790","78790","927.5927734375","927.5927734375","927.5927734375","78790","78790","78790","582.9765625","582.9765625","582.9765625"
"202","79182","79182","79182","1096.9853515625","1096.9853515625","1096.9853515625","79182","79182","79182","1005.5986328125","1005.5986328125","1005.5986328125","79182","79182","79182","709.6962890625","709.6962890625","709.6962890625","79182","79182","79182","804.619140625","804.619140625","804.619140625","79182","79182","79182","918.64453125","918.64453125","918.64453125","79182","79182","79182","586.1572265625","586.1572265625","586.1572265625"
"203","79574","79574","79574","985.8994140625","985.8994140625","985.8994140625","79574","79574","79574","994.794921875","994.794921875","994.794921875","79574","79574","79574","716.90625","716.90625","716.90625","79574","79574","79574","837.41015625","837.41015625","837.41015625","79574","79574","79574","928.53515625","928.53515625","928.53515625","79574","79574","79574","584.9697265625","584.9697265625","584.9697265625"
"204","79966","79966","79966","977.2802734375","977.2802734375","977.2802734375","79966","79966","79966","1017.2890625","1017.2890625","1017.2890625","79966","79966","79966","726.671875","726.671875","726.671875","79966","79966","79966","834.822265625","834.822265625","834.822265625","79966","79966","79966","930.876953125","930.876953125","930.876953125","79966","79966","79966","593.9296875","593.9296875","593.9296875"
"205","80358","80358","80358","1188.208984375","1188.208984375","1188.208984375","80358","80358","80358","1040.509765625","1040.509765625","1040.509765625","80358","80358","80358","753.0537109375","753.0537109375","753.0537109375","80358","80358","80358","876.6748046875","876.6748046875","876.6748046875","80358","80358","80358","1069.9931640625","1069.9931640625","1069.9931640625","80358","80358","80358","625.1787109375","625.1787109375","625.1787109375"
"206","80750","80750","80750","984.009765625","984.009765625","984.009765625","80750","80750","80750","955.798828125","955.798828125","955.798828125","80750","80750","80750","712.0166015625","712.0166015625","712.0166015625","80750","80750","80750","809.4228515625","809.4228515625","809.4228515625","80750","80750","80750","907.3330078125","907.3330078125","907.3330078125","80750","80750","80750","578.53515625","578.53515625","578.53515625"
"207","81142","81142","81142","1035.4130859375","1035.4130859375","1035.4130859375","81142","81142","81142","955.6025390625","955.6025390625","955.6025390625","81142","81142","81142","708.732421875","708.732421875","708.732421875","81142","81142","81142","788.3837890625","788.3837890625","788.3837890625","81142","81142","81142","918.9384765625","918.9384765625","918.9384765625","81142","81142","81142","555.318359375","555.318359375","555.318359375"
"208","81534","81534","81534","1064.4072265625","1064.4072265625","1064.4072265625","81534","81534","81534","1013.173828125","1013.173828125","1013.173828125","81534","81534","81534","730.9833984375","730.9833984375","730.9833984375","81534","81534","81534","826.1376953125","826.1376953125","826.1376953125","81534","81534","81534","1004.65625","1004.65625","1004.65625","81534","81534","81534","579.66015625","579.66015625","579.66015625"
"209","81926","81926","81926","1018.822265625","1018.822265625","1018.822265625","81926","81926","81926","1046.6376953125","1046.6376953125","1046.6376953125","81926","81926","81926","778.953125","778.953125","778.953125","81926","81926","81926","867.0625","867.0625","867.0625","81926","81926","81926","1025.0732421875","1025.0732421875","1025.0732421875","81926","81926","81926","602.0625","602.0625","602.0625"
"210","82318","82318","82318","1138.9697265625","1138.9697265625","1138.9697265625","82318","82318","82318","1069.15625","1069.15625","1069.15625","82318","82318","82318","821.1689453125","821.1689453125","821.1689453125","82318","82318","82318","912.947265625","912.947265625","912.947265625","82318","82318","82318","1079.552734375","1079.552734375","1079.552734375","82318","82318","82318","631.2744140625","631.2744140625","631.2744140625"
"211","82710","82710","82710","1047.1552734375","1047.1552734375","1047.1552734375","82710","82710","82710","1025.556640625","1025.556640625","1025.556640625","82710","82710","82710","797.9697265625","797.9697265625","797.9697265625","82710","82710","82710","878.662109375","878.662109375","878.662109375","82710","82710","82710","1012.56640625","1012.56640625","1012.56640625","82710","82710","82710","606.3291015625","606.3291015625","606.3291015625"
"212","83102","83102","83102","965.34375","965.34375","965.34375","83102","83102","83102","972.3798828125","972.3798828125","972.3798828125","83102","83102","83102","752.5751953125","752.5751953125","752.5751953125","83102","83102","83102","819.4033203125","819.4033203125","819.4033203125","83102","83102","83102","979.3740234375","979.3740234375","979.3740234375","83102","83102","83102","576.7548828125","576.7548828125","576.7548828125"
"213","83494","83494","83494","1098.947265625","1098.947265625","1098.947265625","83494","83494","83494","996.6123046875","996.6123046875","996.6123046875","83494","83494","83494","792.267578125","792.267578125","792.267578125","83494","83494","83494","871.2861328125","871.2861328125","871.2861328125","83494","83494","83494","1062.5380859375","1062.5380859375","1062.5380859375","83494","83494","83494","586.7275390625","586.7275390625","586.7275390625"
"214","83886","83886","83886","1083.2158203125","1083.2158203125","1083.2158203125","83886","83886","83886","967.5029296875","967.5029296875","967.5029296875","83886","83886","83886","773.048828125","773.048828125","773.048828125","83886","83886","83886","872.0849609375","872.0849609375","872.0849609375","83886","83886","83886","1076.0390625","1076.0390625","1076.0390625","83886","83886","83886","571.8017578125","571.8017578125","571.8017578125"
"215","84278","84278","84278","1132.453125","1132.453125","1132.453125","84278","84278","84278","1030.404296875","1030.404296875","1030.404296875","84278","84278","84278","825.794921875","825.794921875","825.794921875","84278","84278","84278","913.38671875","913.38671875","913.38671875","84278","84278","84278","1042.6396484375","1042.6396484375","1042.6396484375","84278","84278","84278","599.2978515625","599.2978515625","599.2978515625"
"216","84670","84670","84670","1033.4052734375","1033.4052734375","1033.4052734375","84670","84670","84670","929.0703125","929.0703125","929.0703125","84670","84670","84670","775.7001953125","775.7001953125","775.7001953125","84670","84670","84670","865.919921875","865.919921875","865.919921875","84670","84670","84670","1024.5263671875","1024.5263671875","1024.5263671875","84670","84670","84670","566.1318359375","566.1318359375","566.1318359375"
"217","85062","85062","85062","1014.7236328125","1014.7236328125","1014.7236328125","85062","85062","85062","979.775390625","979.775390625","979.775390625","85062","85062","85062","807.4765625","807.4765625","807.4765625","85062","85062","85062","880.47021484375","880.47021484375","880.47021484375","85062","85062","85062","991.505859375","991.505859375","991.505859375","85062","85062","85062","587.380859375","587.380859375","587.380859375"
"218","85454","85454","85454","1071.41796875","1071.41796875","1071.41796875","85454","85454","85454","1010.8037109375","1010.8037109375","1010.8037109375","85454","85454","85454","821.1298828125","821.1298828125","821.1298828125","85454","85454","85454","906.8896484375","906.8896484375","906.8896484375","85454","85454","85454","1046.43359375","1046.43359375","1046.43359375","85454","85454","85454","605.390625","605.390625","605.390625"
"219","85846","85846","85846","1213.206298828125","1213.206298828125","1213.206298828125","85846","85846","85846","1010.734375","1010.734375","1010.734375","85846","85846","85846","817.056640625","817.056640625","817.056640625","85846","85846","85846","912.7392578125","912.7392578125","912.7392578125","85846","85846","85846","1128.021484375","1128.021484375","1128.021484375","85846","85846","85846","605.6598510742188","605.6598510742188","605.6598510742188"
"220","86238","86238","86238","1189.8134765625","1189.8134765625","1189.8134765625","86238","86238","86238","996.21875","996.21875","996.21875","86238","86238","86238","802.349609375","802.349609375","802.349609375","86238","86238","86238","904.7763671875","904.7763671875","904.7763671875","86238","86238","86238","1120.3359375","1120.3359375","1120.3359375","86238","86238","86238","586.6337890625","586.6337890625","586.6337890625"
"221","86630","86630","86630","1062.1632080078125","1062.1632080078125","1062.1632080078125","86630","86630","86630","910.9599609375","910.9599609375","910.9599609375","86630","86630","86630","748.76953125","748.76953125","748.76953125","86630","86630","86630","839.33203125","839.33203125","839.33203125","86630","86630","86630","930.55078125","930.55078125","930.55078125","86630","86630","86630","553.5224609375","553.5224609375","553.5224609375"
"222","87022","87022","87022","1165.0107421875","1165.0107421875","1165.0107421875","87022","87022","87022","1006.0458984375","1006.0458984375","1006.0458984375","87022","87022","87022","806.814453125","806.814453125","806.814453125","87022","87022","87022","908.4189453125","908.4189453125","908.4189453125","87022","87022","87022","1053.6845703125","1053.6845703125","1053.6845703125","87022","87022","87022","581.8583984375","581.8583984375","581.8583984375"
"223","87414","87414","87414","1051.8447265625","1051.8447265625","1051.8447265625","87414","87414","87414","867.98828125","867.98828125","867.98828125","87414","87414","87414","724.8837890625","724.8837890625","724.8837890625","87414","87414","87414","790.6044921875","790.6044921875","790.6044921875","87414","87414","87414","882.3876953125","882.3876953125","882.3876953125","87414","87414","87414","513.277587890625","513.277587890625","513.277587890625"
"224","87806","87806","87806","1048.4072265625","1048.4072265625","1048.4072265625","87806","87806","87806","960.0498046875","960.0498046875","960.0498046875","87806","87806","87806","771.1787109375","771.1787109375","771.1787109375","87806","87806","87806","856.3948974609375","856.3948974609375","856.3948974609375","87806","87806","87806","983.4609375","983.4609375","983.4609375","87806","87806","87806","571.744140625","571.744140625","571.744140625"
"225","88198","88198","88198","1047.6103515625","1047.6103515625","1047.6103515625","88198","88198","88198","935.1591796875","935.1591796875","935.1591796875","88198","88198","88198","787.4013671875","787.4013671875","787.4013671875","88198","88198","88198","865.12890625","865.12890625","865.12890625","88198","88198","88198","963.5400390625","963.5400390625","963.5400390625","88198","88198","88198","562.748046875","562.748046875","562.748046875"
"226","88590","88590","88590","1151.982421875","1151.982421875","1151.982421875","88590","88590","88590","925.0341796875","925.0341796875","925.0341796875","88590","88590","88590","760.158203125","760.158203125","760.158203125","88590","88590","88590","828.3974609375","828.3974609375","828.3974609375","88590","88590","88590","993.8388671875","993.8388671875","993.8388671875","88590","88590","88590","551.9091796875","551.9091796875","551.9091796875"
"227","88982","88982","88982","1128.8076171875","1128.8076171875","1128.8076171875","88982","88982","88982","938.5947265625","938.5947265625","938.5947265625","88982","88982","88982","781.451171875","781.451171875","781.451171875","88982","88982","88982","824.84375","824.84375","824.84375","88982","88982","88982","972.3076171875","972.3076171875","972.3076171875","88982","88982","88982","545.6901245117188","545.6901245117188","545.6901245117188"
"228","89374","89374","89374","1060.0927734375","1060.0927734375","1060.0927734375","89374","89374","89374","921.6953125","921.6953125","921.6953125","89374","89374","89374","758.69140625","758.69140625","758.69140625","89374","89374","89374","832.625","832.625","832.625","89374","89374","89374","951.849609375","951.849609375","951.849609375","89374","89374","89374","549.4794921875","549.4794921875","549.4794921875"
"229","89766","89766","89766","1228.12890625","1228.12890625","1228.12890625","89766","89766","89766","1016.66015625","1016.66015625","1016.66015625","89766","89766","89766","869.5966796875","869.5966796875","869.5966796875","89766","89766","89766","967.4951171875","967.4951171875","967.4951171875","89766","89766","89766","1107.529296875","1107.529296875","1107.529296875","89766","89766","89766","619.458984375","619.458984375","619.458984375"
"230","90158","90158","90158","1025.087890625","1025.087890625","1025.087890625","90158","90158","90158","929.58203125","929.58203125","929.58203125","90158","90158","90158","752.74609375","752.74609375","752.74609375","90158","90158","90158","825.0595703125","825.0595703125","825.0595703125","90158","90158","90158","902.3525390625","902.3525390625","902.3525390625","90158","90158","90158","558.27734375","558.27734375","558.27734375"
"231","90550","90550","90550","1045.0361328125","1045.0361328125","1045.0361328125","90550","90550","90550","945.3564453125","945.3564453125","945.3564453125","90550","90550","90550","750.34765625","750.34765625","750.34765625","90550","90550","90550","840.6259765625","840.6259765625","840.6259765625","90550","90550","90550","921.064453125","921.064453125","921.064453125","90550","90550","90550","542.74609375","542.74609375","542.74609375"
"232","90942","90942","90942","1176.5205078125","1176.5205078125","1176.5205078125","90942","90942","90942","951.6484375","951.6484375","951.6484375","90942","90942","90942","785.3056640625","785.3056640625","785.3056640625","90942","90942","90942","855.54296875","855.54296875","855.54296875","90942","90942","90942","983.271484375","983.271484375","983.271484375","90942","90942","90942","568.208984375","568.208984375","568.208984375"
"233","91334","91334","91334","994.171875","994.171875","994.171875","91334","91334","91334","931.2265625","931.2265625","931.2265625","91334","91334","91334","758.53125","758.53125","758.53125","91334","91334","91334","831.935546875","831.935546875","831.935546875","91334","91334","91334","886.5703125","886.5703125","886.5703125","91334","91334","91334","546.1240234375","546.1240234375","546.1240234375"
"234","91726","91726","91726","1278.9814453125","1278.9814453125","1278.9814453125","91726","91726","91726","995.55859375","995.55859375","995.55859375","91726","91726","91726","834.75","834.75","834.75","91726","91726","91726","900.259033203125","900.259033203125","900.259033203125","91726","91726","91726","1033.0673828125","1033.0673828125","1033.0673828125","91726","91726","91726","605.3916015625","605.3916015625","605.3916015625"
"235","92118","92118","92118","1229.96875","1229.96875","1229.96875","92118","92118","92118","1019.328125","1019.328125","1019.328125","92118","92118","92118","862.7890625","862.7890625","862.7890625","92118","92118","92118","929.36328125","929.36328125","929.36328125","92118","92118","92118","1064.9384765625","1064.9384765625","1064.9384765625","92118","92118","92118","597.5556640625","597.5556640625","597.5556640625"
"236","92510","92510","92510","1108.7158203125","1108.7158203125","1108.7158203125","92510","92510","92510","940.30078125","940.30078125","940.30078125","92510","92510","92510","777.568359375","777.568359375","777.568359375","92510","92510","92510","849.4560546875","849.4560546875","849.4560546875","92510","92510","92510","973.5859375","973.5859375","973.5859375","92510","92510","92510","560.8974609375","560.8974609375","560.8974609375"
"237","92902","92902","92902","1158.3251953125","1158.3251953125","1158.3251953125","92902","92902","92902","980.4384765625","980.4384765625","980.4384765625","92902","92902","92902","797.4633178710938","797.4633178710938","797.4633178710938","92902","92902","92902","845.7724609375","845.7724609375","845.7724609375","92902","92902","92902","977.3984375","977.3984375","977.3984375","92902","92902","92902","557.626953125","557.626953125","557.626953125"
"238","93294","93294","93294","1172.0498046875","1172.0498046875","1172.0498046875","93294","93294","93294","1017.296875","1017.296875","1017.296875","93294","93294","93294","820.548828125","820.548828125","820.548828125","93294","93294","93294","868.1474609375","868.1474609375","868.1474609375","93294","93294","93294","996.67578125","996.67578125","996.67578125","93294","93294","93294","574.8330078125","574.8330078125","574.8330078125"
"239","93686","93686","93686","1170.5693359375","1170.5693359375","1170.5693359375","93686","93686","93686","904.3017578125","904.3017578125","904.3017578125","93686","93686","93686","768.9072265625","768.9072265625","768.9072265625","93686","93686","93686","811.1298828125","811.1298828125","811.1298828125","93686","93686","93686","956.2119140625","956.2119140625","956.2119140625","93686","93686","93686","536.5693359375","536.5693359375","536.5693359375"
"240","94078","94078","94078","1208.978515625","1208.978515625","1208.978515625","94078","94078","94078","1004.96875","1004.96875","1004.96875","94078","94078","94078","831.0595703125","831.0595703125","831.0595703125","94078","94078","94078","888.798828125","888.798828125","888.798828125","94078","94078","94078","1040.7705078125","1040.7705078125","1040.7705078125","94078","94078","94078","565.955078125","565.955078125","565.955078125"
"241","94470","94470","94470","1128.013671875","1128.013671875","1128.013671875","94470","94470","94470","914.6328125","914.6328125","914.6328125","94470","94470","94470","752.4365234375","752.4365234375","752.4365234375","94470","94470","94470","806.310546875","806.310546875","806.310546875","94470","94470","94470","921.1728515625","921.1728515625","921.1728515625","94470","94470","94470","522.2666015625","522.2666015625","522.2666015625"
"242","94862","94862","94862","1113.1583251953125","1113.1583251953125","1113.1583251953125","94862","94862","94862","940.3642578125","940.3642578125","940.3642578125","94862","94862","94862","756.9765625","756.9765625","756.9765625","94862","94862","94862","821.443359375","821.443359375","821.443359375","94862","94862","94862","902.7158203125","902.7158203125","902.7158203125","94862","94862","94862","541.0078125","541.0078125","541.0078125"
"243","95254","95254","95254","1131.7021484375","1131.7021484375","1131.7021484375","95254","95254","95254","983.4541015625","983.4541015625","983.4541015625","95254","95254","95254","780.9423828125","780.9423828125","780.9423828125","95254","95254","95254","842.453125","842.453125","842.453125","95254","95254","95254","943.1748046875","943.1748046875","943.1748046875","95254","95254","95254","553.5283203125","553.5283203125","553.5283203125"
"244","95646","95646","95646","1053.146484375","1053.146484375","1053.146484375","95646","95646","95646","913.1689453125","913.1689453125","913.1689453125","95646","95646","95646","734.525390625","734.525390625","734.525390625","95646","95646","95646","815.787109375","815.787109375","815.787109375","95646","95646","95646","875.73046875","875.73046875","875.73046875","95646","95646","95646","522.380859375","522.380859375","522.380859375"
"245","96038","96038","96038","1201.9482421875","1201.9482421875","1201.9482421875","96038","96038","96038","1056.0458984375","1056.0458984375","1056.0458984375","96038","96038","96038","785.4443359375","785.4443359375","785.4443359375","96038","96038","96038","894.9267578125","894.9267578125","894.9267578125","96038","96038","96038","1041.369140625","1041.369140625","1041.369140625","96038","96038","96038","551.703125","551.703125","551.703125"
"246","96430","96430","96430","1137.9072265625","1137.9072265625","1137.9072265625","96430","96430","96430","964.5546875","964.5546875","964.5546875","96430","96430","96430","746.859375","746.859375","746.859375","96430","96430","96430","839.3857421875","839.3857421875","839.3857421875","96430","96430","96430","996.078125","996.078125","996.078125","96430","96430","96430","545.4462890625","545.4462890625","545.4462890625"
"247","96822","96822","96822","1142.7734375","1142.7734375","1142.7734375","96822","96822","96822","949.9736328125","949.9736328125","949.9736328125","96822","96822","96822","729.966796875","729.966796875","729.966796875","96822","96822","96822","821.8056640625","821.8056640625","821.8056640625","96822","96822","96822","985.1796875","985.1796875","985.1796875","96822","96822","96822","534.55859375","534.55859375","534.55859375"
"248","97214","97214","97214","1138.486328125","1138.486328125","1138.486328125","97214","97214","97214","1014.98828125","1014.98828125","1014.98828125","97214","97214","97214","756.984375","756.984375","756.984375","97214","97214","97214","877.7705078125","877.7705078125","877.7705078125","97214","97214","97214","963.10546875","963.10546875","963.10546875","97214","97214","97214","561.13671875","561.13671875","561.13671875"
"249","97606","97606","97606","1050.599609375","1050.599609375","1050.599609375","97606","97606","97606","905.6083984375","905.6083984375","905.6083984375","97606","97606","97606","664.8671875","664.8671875","664.8671875","97606","97606","97606","769.39453125","769.39453125","769.39453125","97606","97606","97606","851.3994140625","851.3994140625","851.3994140625","97606","97606","97606","502.8583984375","502.8583984375","502.8583984375"
"250","97998","97998","97998","1134.806640625","1134.806640625","1134.806640625","97998","97998","97998","1010.048828125","1010.048828125","1010.048828125","97998","97998","97998","726.3896484375","726.3896484375","726.3896484375","97998","97998","97998","864.5771484375","864.5771484375","864.5771484375","97998","97998","97998","922.345703125","922.345703125","922.345703125","97998","97998","97998","537.3125","537.3125","537.3125"
"251","98390","98390","98390","1192.7802734375","1192.7802734375","1192.7802734375","98390","98390","98390","1018.73046875","1018.73046875","1018.73046875","98390","98390","98390","722.0126953125","722.0126953125","722.0126953125","98390","98390","98390","895.2587890625","895.2587890625","895.2587890625","98390","98390","98390","973.2275390625","973.2275390625","973.2275390625","98390","98390","98390","558.380859375","558.380859375","558.380859375"
"252","98782","98782","98782","1102.4052734375","1102.4052734375","1102.4052734375","98782","98782","98782","1048.48046875","1048.48046875","1048.48046875","98782","98782","98782","737.9033203125","737.9033203125","737.9033203125","98782","98782","98782","885.8797607421875","885.8797607421875","885.8797607421875","98782","98782","98782","952.0419921875","952.0419921875","952.0419921875","98782","98782","98782","558.697265625","558.697265625","558.697265625"
"253","99174","99174","99174","1105.97265625","1105.97265625","1105.97265625","99174","99174","99174","1014.9589233398438","1014.9589233398438","1014.9589233398438","99174","99174","99174","719.0390625","719.0390625","719.0390625","99174","99174","99174","870.42578125","870.42578125","870.42578125","99174","99174","99174","905.3421020507812","905.3421020507812","905.3421020507812","99174","99174","99174","541.466796875","541.466796875","541.466796875"
"254","99566","99566","99566","1111.5224609375","1111.5224609375","1111.5224609375","99566","99566","99566","1018.720703125","1018.720703125","1018.720703125","99566","99566","99566","686.123046875","686.123046875","686.123046875","99566","99566","99566","864.322265625","864.322265625","864.322265625","99566","99566","99566","908.7939453125","908.7939453125","908.7939453125","99566","99566","99566","538.3916015625","538.3916015625","538.3916015625"
"255","99958","99958","99958","1108.9033203125","1108.9033203125","1108.9033203125","99958","99958","99958","995.61328125","995.61328125","995.61328125","99958","99958","99958","691.482421875","691.482421875","691.482421875","99958","99958","99958","862.8486328125","862.8486328125","862.8486328125","99958","99958","99958","911.3984375","911.3984375","911.3984375","99958","99958","99958","538.09765625","538.09765625","538.09765625"
"256","100350","100350","100350","1178.0771484375","1178.0771484375","1178.0771484375","100350","100350","100350","1102.2294921875","1102.2294921875","1102.2294921875","100350","100350","100350","742.0810546875","742.0810546875","742.0810546875","100350","100350","100350","938.4072265625","938.4072265625","938.4072265625","100350","100350","100350","961.8876953125","961.8876953125","961.8876953125","100350","100350","100350","577.693359375","577.693359375","577.693359375"
"257","100742","100742","100742","1117.2099609375","1117.2099609375","1117.2099609375","100742","100742","100742","1035.6845703125","1035.6845703125","1035.6845703125","100742","100742","100742","718.810546875","718.810546875","718.810546875","100742","100742","100742","924.783203125","924.783203125","924.783203125","100742","100742","100742","930.76953125","930.76953125","930.76953125","100742","100742","100742","556.6240234375","556.6240234375","556.6240234375"
"258","101134","101134","101134","1198.9619140625","1198.9619140625","1198.9619140625","101134","101134","101134","1102.8642578125","1102.8642578125","1102.8642578125","101134","101134","101134","730.9501953125","730.9501953125","730.9501953125","101134","101134","101134","982.2958984375","982.2958984375","982.2958984375","101134","101134","101134","1015.9267578125","1015.9267578125","1015.9267578125","101134","101134","101134","552.87890625","552.87890625","552.87890625"
"259","101526","101526","101526","1105.052734375","1105.052734375","1105.052734375","101526","101526","101526","1056.396484375","1056.396484375","1056.396484375","101526","101526","101526","730.0322265625","730.0322265625","730.0322265625","101526","101526","101526","930.3984375","930.3984375","930.3984375","101526","101526","101526","950.30859375","950.30859375","950.30859375","101526","101526","101526","556.244140625","556.244140625","556.244140625"
"260","101918","101918","101918","1077.1494140625","1077.1494140625","1077.1494140625","101918","101918","101918","1006.9580078125","1006.9580078125","1006.9580078125","101918","101918","101918","716.3671875","716.3671875","716.3671875","101918","101918","101918","869.796875","869.796875","869.796875","101918","101918","101918","859.0986328125","859.0986328125","859.0986328125","101918","101918","101918","536.1181640625","536.1181640625","536.1181640625"
"261","102310","102310","102310","1203.130859375","1203.130859375","1203.130859375","102310","102310","102310","1100.5908203125","1100.5908203125","1100.5908203125","102310","102310","102310","744.2744140625","744.2744140625","744.2744140625","102310","102310","102310","978.5283203125","978.5283203125","978.5283203125","102310","102310","102310","1014.4990234375","1014.4990234375","1014.4990234375","102310","102310","102310","576.2421875","576.2421875","576.2421875"
"262","102702","102702","102702","1106.7685546875","1106.7685546875","1106.7685546875","102702","102702","102702","1052.802734375","1052.802734375","1052.802734375","102702","102702","102702","739.888671875","739.888671875","739.888671875","102702","102702","102702","920.1005859375","920.1005859375","920.1005859375","102702","102702","102702","924.59375","924.59375","924.59375","102702","102702","102702","564.1533203125","564.1533203125","564.1533203125"
"263","103094","103094","103094","1050.3544921875","1050.3544921875","1050.3544921875","103094","103094","103094","1027.2373046875","1027.2373046875","1027.2373046875","103094","103094","103094","735.255859375","735.255859375","735.255859375","103094","103094","103094","909.408203125","909.408203125","909.408203125","103094","103094","103094","900.041015625","900.041015625","900.041015625","103094","103094","103094","571.99609375","571.99609375","571.99609375"
"264","103486","103486","103486","1112.890625","1112.890625","1112.890625","103486","103486","103486","1061.814453125","1061.814453125","1061.814453125","103486","103486","103486","753.6044921875","753.6044921875","753.6044921875","103486","103486","103486","905.4691772460938","905.4691772460938","905.4691772460938","103486","103486","103486","988.224609375","988.224609375","988.224609375","103486","103486","103486","587.1181640625","587.1181640625","587.1181640625"
