run_name,tokens,metric,value
SmolLM3 3B,4718592000.0,hellaswag,0.29645488946425014
SmolLM3 3B,9437184000.0,hellaswag,0.3716391157140012
SmolLM3 3B,14155776000.0,hellaswag,0.40967934674367656
SmolLM3 3B,18874368000.0,hellaswag,0.4449312885879307
SmolLM3 3B,23592960000.0,hellaswag,0.46634136626170086
SmolLM3 3B,28311552000.0,hellaswag,0.48536148177653854
SmolLM3 3B,33030144000.0,hellaswag,0.49950209121688904
SmolLM3 3B,37748736000.0,hellaswag,0.5040828520215097
SmolLM3 3B,42467328000.0,hellaswag,0.5201155148376817
SmolLM3 3B,47185920000.0,hellaswag,0.528779127663812
SmolLM3 3B,51904512000.0,hellaswag,0.5387373033260306
SmolLM3 3B,56623104000.0,hellaswag,0.5463055168293168
SmolLM3 3B,61341696000.0,hellaswag,0.5518820952001593
SmolLM3 3B,66060288000.0,hellaswag,0.5468034256124278
SmolLM3 3B,70778880000.0,hellaswag,0.5589523999203346
SmolLM3 3B,75497472000.0,hellaswag,0.5654252141007767
SmolLM3 3B,80216064000.0,hellaswag,0.5609440350527783
SmolLM3 3B,84934656000.0,hellaswag,0.5690101573391755
SmolLM3 3B,89653248000.0,hellaswag,0.5700059749053973
SmolLM3 3B,94371840000.0,hellaswag,0.5805616411073491
SmolLM3 3B,99090432000.0,hellaswag,0.5775741884086836
SmolLM3 3B,103809024000.0,hellaswag,0.5823541127265485
SmolLM3 3B,108527616000.0,hellaswag,0.5838478390758813
SmolLM3 3B,113246208000.0,hellaswag,0.5861382194781916
SmolLM3 3B,117964800000.0,hellaswag,0.5918143796056562
SmolLM3 3B,122683392000.0,hellaswag,0.5928101971718781
SmolLM3 3B,127401984000.0,hellaswag,0.5958972316271659
SmolLM3 3B,132120576000.0,hellaswag,0.5983867755427206
SmolLM3 3B,136839168000.0,hellaswag,0.5982871937860984
SmolLM3 3B,141557760000.0,hellaswag,0.5945030870344553
SmolLM3 3B,146276352000.0,hellaswag,0.6010754829715196
SmolLM3 3B,150994944000.0,hellaswag,0.5983867755427206
SmolLM3 3B,155713536000.0,hellaswag,0.5985859390559649
SmolLM3 3B,160432128000.0,hellaswag,0.6020713005377415
SmolLM3 3B,165150720000.0,hellaswag,0.6024696275642303
SmolLM3 3B,169869312000.0,hellaswag,0.6074487153953396
SmolLM3 3B,174587904000.0,hellaswag,0.6067516430989842
SmolLM3 3B,179306496000.0,hellaswag,0.6097390957976498
SmolLM3 3B,184025088000.0,hellaswag,0.6061541525592511
SmolLM3 3B,188743680000.0,hellaswag,0.6075482971519618
